hand,draws_left,best_draw,hand_after,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result
draw,400.0,0,0.0,200.0,,100000,400.0,600.0,200.0,400.0
"[4s,6s,9h,3h,Ah]",0,,,0.0887593,0,4,4,check,400.0,0,0.0,200.0,,100000,200.0,0.0,0.0,0.0
"[5s,8c,2h,7d,9c]",0,,,0.41043,1,4,4,bet_big,400.0,200.0,2.0,200.0,0,1000000,400.0,600.0,200.0,400.0
"[4s,6s,9h,3h,Ah]",0,,,0.0887593,0,4,4,FOLD,600.0,0,0.0,200.0,01,10000001,200.0,0.0,0.0,0.0
"[9d,2d,5c,8s,2h]",3,,,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,200.0,400.0,200.0,200.0
"[4s,Jc,2c,Kc,Ac]",3,,,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,0.0,200.0,-200.0
"[4s,Jc,2c,Kc,Ac]",3,,,0.410525,1,0,0,call_small,150.0,50.0,3.0,50.0,,,200.0,0.0,150.0,-150.0
"[9d,2d,5c,8s,2h]",3,,,0.420979,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,200.0,400.0,100.0,300.0
"[4s,Jc,2c,Kc,Ac]",3,,,0.410525,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,200.0,0.0,100.0,-100.0
"[9d,2d,5c,8s,2h]",3,"[2d,5c,8s]","[2d,5c,8s,5s,4d]",0.420979,0,0,0,draw,400.0,0,0.0,200.0,,010,200.0,400.0,0.0,400.0
"[4s,Jc,2c,Kc,Ac]",3,"[4s,2c]","[4s,2c,Qc,4c,3s]",0.410525,1,0,0,draw,400.0,0,0.0,200.0,,010,200.0,0.0,0.0,0.0
"[2d,5c,8s,5s,4d]",2,,,0.525699,0,3,2,check,400.0,0,0.0,200.0,,010,200.0,400.0,0.0,400.0
"[4s,2c,Qc,4c,3s]",2,,,0.357763,1,2,3,check,400.0,0,0.0,200.0,0,0100,200.0,0.0,0.0,0.0
"[2d,5c,8s,5s,4d]",2,"[2d,8s,5s,4d]","[2d,8s,5s,4d,Kd]",0.525699,0,0,0,draw,400.0,0,0.0,200.0,,01000,200.0,400.0,0.0,400.0
"[4s,2c,Qc,4c,3s]",2,"[4s,2c,3s]","[4s,2c,3s,5h,4h]",0.357763,1,0,0,draw,400.0,0,0.0,200.0,,01000,200.0,0.0,0.0,0.0
"[2d,8s,5s,4d,Kd]",1,,,0.317499,0,4,3,check,400.0,0,0.0,200.0,,01000,200.0,400.0,0.0,400.0
"[4s,2c,3s,5h,4h]",1,,,0.317106,1,3,4,check,400.0,0,0.0,200.0,0,010000,200.0,0.0,0.0,0.0
"[2d,8s,5s,4d,Kd]",1,"[2d,8s,5s,4d]","[2d,8s,5s,4d,9h]",0.317499,0,0,0,draw,400.0,0,0.0,200.0,,0100000,200.0,400.0,0.0,400.0
"[4s,2c,3s,5h,4h]",1,"[2c,3s,5h,4h]","[2c,3s,5h,4h,Ad]",0.317106,1,0,0,draw,400.0,0,0.0,200.0,,0100000,200.0,0.0,0.0,0.0
"[2d,8s,5s,4d,9h]",0,,,0.564479,0,4,4,check,400.0,0,0.0,200.0,,0100000,200.0,400.0,0.0,400.0
"[2c,3s,5h,4h,Ad]",0,,,0.0865206,1,4,4,check,400.0,0,0.0,200.0,0,01000000,200.0,0.0,0.0,0.0
"[8s,6h,8h,4d,7s]",3,,,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,400.0,700.0,400.0,300.0
"[Ad,Jc,6s,Ks,Ac]",3,,,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,300.0,0.0,300.0,-300.0
"[Ad,Jc,6s,Ks,Ac]",3,,,0.326878,1,0,0,call_small,150.0,50.0,3.0,50.0,,,300.0,0.0,250.0,-250.0
"[8s,6h,8h,4d,7s]",3,,,0.463811,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,400.0,700.0,300.0,400.0
"[Ad,Jc,6s,Ks,Ac]",3,,,0.326878,1,0,0,raise_small,300.0,200.0,1.5,100.0,01,01,300.0,0.0,200.0,-200.0
"[8s,6h,8h,4d,7s]",3,,,0.463811,0,0,0,raise_small,500.0,200.0,2.5,200.0,011,011,400.0,700.0,200.0,500.0
"[Ad,Jc,6s,Ks,Ac]",3,,,0.326878,1,0,0,FOLD,700.0,0,0.0,300.0,0111,0111,300.0,0.0,0.0,0.0
"[6s,2s,8h,Jc,Qh]",3,,,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,1200.0,700.0,500.0
"[2c,6c,Td,7d,Qc]",3,,,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,0.0,500.0,-500.0
"[2c,6c,Td,7d,Qc]",3,,,0.44226,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,0.0,450.0,-450.0
"[6s,2s,8h,Jc,Qh]",3,,,0.458521,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,700.0,1200.0,600.0,600.0
"[2c,6c,Td,7d,Qc]",3,,,0.44226,1,0,0,call_small,500.0,100.0,5.0,200.0,11,11,500.0,0.0,300.0,-300.0
"[6s,2s,8h,Jc,Qh]",3,"[6s,2s,8h]","[6s,2s,8h,7c,Th]",0.458521,0,0,0,draw,600.0,0,0.0,300.0,,110,700.0,1200.0,400.0,800.0
"[2c,6c,Td,7d,Qc]",3,"[2c,6c,7d]","[2c,6c,7d,8c,8d]",0.44226,1,0,0,draw,600.0,0,0.0,300.0,,110,500.0,0.0,200.0,-200.0
"[6s,2s,8h,7c,Th]",2,,,0.409048,0,3,3,bet_small,600.0,100.0,6.0,300.0,,110,700.0,1200.0,400.0,800.0
"[2c,6c,7d,8c,8d]",2,,,0.442246,1,3,3,raise_small,700.0,200.0,3.5,300.0,1,1101,500.0,0.0,200.0,-200.0
"[6s,2s,8h,7c,Th]",2,,,0.409048,0,3,3,call_small,900.0,100.0,9.0,400.0,11,11011,700.0,1200.0,300.0,900.0
"[6s,2s,8h,7c,Th]",2,"[6s,2s,8h,7c]","[6s,2s,8h,7c,Qs]",0.409048,0,0,0,draw,1000.0,0,0.0,500.0,,110110,700.0,1200.0,200.0,1000.0
"[2c,6c,7d,8c,8d]",2,"[2c,6c,7d,8d]","[2c,6c,7d,8d,Tc]",0.442246,1,0,0,draw,1000.0,0,0.0,500.0,,110110,500.0,0.0,0.0,0.0
"[6s,2s,8h,7c,Qs]",1,,,0.277063,0,4,4,check,1000.0,0,0.0,500.0,,110110,700.0,1200.0,200.0,1000.0
"[2c,6c,7d,8d,Tc]",1,,,0.305645,1,4,4,check,1000.0,0,0.0,500.0,0,1101100,500.0,0.0,0.0,0.0
