hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[5d,Js,Ah,Qs,Th]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0
"[4s,3d,7s,As,Kc]",3,,,CNN_3,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0
"[4s,3d,7s,As,Kc]",3,,,CNN_3,0.475051,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0
"[5d,Js,Ah,Qs,Th]",3,,,man,0.3,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0
"[2s,3h,Qd,Ks,4c]",3,,,CNN_3,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,500.0,1000.0,500.0,500.0,0.0,500.0
"[4d,Qh,Th,9c,Jc]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,0.0,500.0,-500.0,-50,-450.0
"[4d,Qh,Th,9c,Jc]",3,,,man,0.3,1,0,0,call_small,150.0,50.0,3.0,50.0,,,500.0,0.0,450.0,-450.0,-50.0,-400.0
"[2s,3h,Qd,Ks,4c]",3,,,CNN_3,0.490258,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,500.0,1000.0,400.0,600.0,200.0,400.0
"[4d,Qh,Th,9c,Jc]",3,,,man,0.3,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,500.0,0.0,400.0,-400.0,-100.0,-300.0
"[2s,3h,Qd,Ks,4c]",3,"[2s,3h,4c]","[2s,3h,4c,5s,2d]",CNN_3,0.490258,0,0,0,draw,400.0,0,0.0,200.0,,010,500.0,1000.0,300.0,700.0,400.0,300.0
"[4d,Qh,Th,9c,Jc]",3,"[4d,9c]","[4d,9c,Jh,4s,2c]",man,0.3,1,0,0,draw,400.0,0,0.0,200.0,,010,500.0,0.0,300.0,-300.0,0,-300.0
"[2s,3h,4c,5s,2d]",2,,,CNN_3,0.480518,0,3,2,bet_small,400.0,100.0,4.0,200.0,,010,500.0,1000.0,300.0,700.0,400.0,300.0
"[4d,9c,Jh,4s,2c]",2,,,man,0.3,1,2,3,call_small,500.0,100.0,5.0,200.0,1,0101,500.0,0.0,300.0,-300.0,-100.0,-200.0
"[2s,3h,4c,5s,2d]",2,"[3h,4c,5s,2d]","[3h,4c,5s,2d,8c]",CNN_3,0.480518,0,0,0,draw,600.0,0,0.0,300.0,,01010,500.0,1000.0,200.0,800.0,600.0,200.0
"[4d,9c,Jh,4s,2c]",2,"[9c,4s,2c]","[9c,4s,2c,Td,3s]",man,0.3,1,0,0,draw,600.0,0,0.0,300.0,,01010,500.0,0.0,200.0,-200.0,0,-200.0
"[3h,4c,5s,2d,8c]",1,,,CNN_3,0.869948,0,4,3,bet_big,600.0,200.0,3.0,300.0,,01010,500.0,1000.0,200.0,800.0,600.0,200.0
"[9c,4s,2c,Td,3s]",1,,,man,0.3,1,3,4,call_big,800.0,200.0,4.0,300.0,1,010101,500.0,0.0,200.0,-200.0,-200.0,0.0
