hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[8h,6s,6h,Ts,Td]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,1000.0,2000.0,1000.0,1000.0,0.0,1000.0
"[Ks,5d,8d,6c,Js]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,1000.0,0.0,1000.0,-1000.0,-50,-950.0
"[Ks,5d,8d,6c,Js]",3,,,CNN_45,0.41100603632999005,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,1000.0,0.0,950.0,-950.0,-150.0,-800.0
"[8h,6s,6h,Ts,Td]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,1000.0,2000.0,900.0,1100.0,300.0,800.0
"[8h,6s,6h,Ts,Td]",3,[6s],"[6s,7d,4h,2h,Jh]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,10,1000.0,2000.0,800.0,1200.0,400.0,800.0
"[Ks,5d,8d,6c,Js]",3,"[5d,8d,6c]","[5d,8d,6c,9s,3d]",CNN_45,0.41100603632999005,1,0,0,draw,400.0,0,0.0,200.0,,10,1000.0,0.0,800.0,-800.0,0,-800.0
"[6s,7d,4h,2h,Jh]",2,,,man,0.3,0,1,3,check,400.0,0,0.0,200.0,,10,1000.0,2000.0,800.0,1200.0,400.0,800.0
"[5d,8d,6c,9s,3d]",2,,,CNN_45,0.43480389368867223,1,3,1,bet_small,400.0,100.0,4.0,200.0,0,100,1000.0,0.0,800.0,-800.0,-100.0,-700.0
"[6s,7d,4h,2h,Jh]",2,,,man,0.3,0,1,3,raise_small,500.0,200.0,2.5,200.0,01,1001,1000.0,2000.0,800.0,1200.0,500.0,700.0
"[5d,8d,6c,9s,3d]",2,,,CNN_45,0.43480389368867223,1,3,1,raise_small,700.0,200.0,3.5,300.0,011,10011,1000.0,0.0,700.0,-700.0,-200.0,-500.0
"[6s,7d,4h,2h,Jh]",2,,,man,0.3,0,1,3,raise_small,900.0,200.0,4.5,400.0,0111,100111,1000.0,2000.0,600.0,1400.0,900.0,500.0
"[5d,8d,6c,9s,3d]",2,,,CNN_45,0.43480389368867223,1,3,1,call_small,1100.0,100.0,11.0,500.0,01111,1001111,1000.0,0.0,500.0,-500.0,-100.0,-400.0
"[6s,7d,4h,2h,Jh]",2,"[6s,7d,4h,2h]","[6s,7d,4h,2h,Jc]",man,0.3,0,0,0,draw,1200.0,0,0.0,600.0,,10011110,1000.0,2000.0,400.0,1600.0,1200.0,400.0
"[5d,8d,6c,9s,3d]",2,"[5d,8d,6c,9s,3d]","[5d,8d,6c,9s,3d]",CNN_45,0.43480389368867223,1,0,0,draw,1200.0,0,0.0,600.0,,10011110,1000.0,0.0,400.0,-400.0,0,-400.0
"[6s,7d,4h,2h,Jc]",1,,,man,0.3,0,4,5,check,1200.0,0,0.0,600.0,,10011110,1000.0,2000.0,400.0,1600.0,1200.0,400.0
"[5d,8d,6c,9s,3d]",1,,,CNN_45,0.42333123826367608,1,5,4,check,1200.0,0,0.0,600.0,0,100111100,1000.0,0.0,400.0,-400.0,0,-400.0
"[6s,7d,4h,2h,Jc]",1,"[6s,7d,4h,2h]","[6s,7d,4h,2h,9c]",man,0.3,0,0,0,draw,1200.0,0,0.0,600.0,,1001111000,1000.0,2000.0,400.0,1600.0,1200.0,400.0
"[5d,8d,6c,9s,3d]",1,"[5d,8d,6c,9s,3d]","[5d,8d,6c,9s,3d]",CNN_45,0.42333123826367608,1,0,0,draw,1200.0,0,0.0,600.0,,1001111000,1000.0,0.0,400.0,-400.0,0,-400.0
"[6s,7d,4h,2h,9c]",0,,,man,0.3,0,4,5,bet_big,1200.0,200.0,6.0,600.0,,1001111000,1000.0,2000.0,400.0,1600.0,1200.0,400.0
"[5d,8d,6c,9s,3d]",0,,,CNN_45,0.42333123826367608,1,5,4,raise_big,1400.0,400.0,3.5,600.0,1,10011110001,1000.0,0.0,400.0,-400.0,-400.0,0.0
"[6s,7d,4h,2h,9c]",0,,,man,0.3,0,4,5,call_big,1800.0,200.0,9.0,800.0,11,100111100011,1000.0,2000.0,200.0,1800.0,1800.0,0.0
"[Td,2d,9s,2s,Kh]",3,,,CNN_45,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0
"[Ac,8h,4c,2c,Qd]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0
"[Ac,8h,4c,2c,Qd]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0
"[Td,2d,9s,2s,Kh]",3,,,CNN_45,0.33732687440971054,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0
"[Ts,3s,6h,Jh,8d]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,400.0,700.0,400.0,300.0,0.0,300.0
"[6d,Jc,9d,6s,Js]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,300.0,0.0,300.0,-300.0,-50,-250.0
"[6d,Jc,9d,6s,Js]",3,,,CNN_45,0.3219560974671517,1,0,0,call_small,150.0,50.0,3.0,50.0,,,300.0,0.0,250.0,-250.0,-50.0,-200.0
"[Ts,3s,6h,Jh,8d]",3,,,man,0.3,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,400.0,700.0,300.0,400.0,200.0,200.0
"[6d,Jc,9d,6s,Js]",3,,,CNN_45,0.3219560974671517,1,0,0,raise_small,300.0,200.0,1.5,100.0,01,01,300.0,0.0,200.0,-200.0,-200.0,0.0
"[Ts,3s,6h,Jh,8d]",3,,,man,0.3,0,0,0,call_small,500.0,100.0,5.0,200.0,011,011,400.0,700.0,200.0,500.0,500.0,0.0
"[Ts,3s,6h,Jh,8d]",3,"[3s,6h,8d]","[3s,6h,8d,3h,3d]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,,0110,400.0,700.0,100.0,600.0,600.0,0.0
"[6d,Jc,9d,6s,Js]",3,"[9d,6s]","[9d,6s,Ad,Qc,Td]",CNN_45,0.3219560974671517,1,0,0,draw,600.0,0,0.0,300.0,,0110,300.0,0.0,0.0,0.0,0,0
"[3s,6h,8d,3h,3d]",2,,,man,0.3,0,3,2,bet_small,600.0,100.0,6.0,300.0,,0110,400.0,700.0,100.0,600.0,600.0,0.0
"[9d,6s,Ad,Qc,Td]",2,,,CNN_45,0.22110773450454804,1,2,3,FOLD,700.0,0,0.0,300.0,1,01101,300.0,0.0,0.0,0.0,0,0
"[3s,9c,Th,Qs,Tc]",3,,,CNN_45,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,0.0,600.0,-600.0,-100,-500.0
"[Jc,3h,Jd,2h,Kc]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,600.0,1200.0,600.0,600.0,100.0,500.0
"[Jc,3h,Jd,2h,Kc]",3,,,man,0.3,1,0,0,call_small,150.0,50.0,3.0,50.0,,,600.0,1200.0,550.0,650.0,150.0,500.0
"[3s,9c,Th,Qs,Tc]",3,,,CNN_45,0.33410042251469357,0,0,0,check,200.0,0,0.0,100.0,0,0,600.0,0.0,500.0,-500.0,0,-500.0
"[3s,9c,Th,Qs,Tc]",3,"[3s,9c]","[3s,9c,5s,5c,6c]",CNN_45,0.33410042251469357,0,0,0,draw,200.0,0,0.0,100.0,,00,600.0,0.0,500.0,-500.0,0,-500.0
