hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[4c,7s,2s,7d,3d]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0,0.0,50.0
"[Td,Kd,Kc,3c,6c]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0,-50,0.0
"[Td,Kd,Kc,3c,6c]",3,,,CNN_4,0.369145,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0,0,0
"[7s,7c,As,Qh,3d]",3,,,CNN_4,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,500.0,0.0,500.0,-500.0,-100,-400.0
"[3c,5d,3h,5c,Qd]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,1000.0,500.0,500.0,100.0,400.0
"[3c,5d,3h,5c,Qd]",3,,,man,0.3,1,0,0,call_small,150.0,50.0,3.0,50.0,,,500.0,1000.0,450.0,550.0,150.0,400.0
"[7s,7c,As,Qh,3d]",3,,,CNN_4,0.377469,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,500.0,0.0,400.0,-400.0,-100.0,-300.0
"[3c,5d,3h,5c,Qd]",3,,,man,0.3,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,500.0,1000.0,400.0,600.0,300.0,300.0
"[7s,7c,As,Qh,3d]",3,"[7s,3d]","[7s,3d,Kh,6c,8h]",CNN_4,0.377469,0,0,0,draw,400.0,0,0.0,200.0,,010,500.0,0.0,300.0,-300.0,0,-300.0
"[3c,5d,3h,5c,Qd]",3,"[3c,5d]","[3c,5d,Ks,2c,Jh]",man,0.3,1,0,0,draw,400.0,0,0.0,200.0,,010,500.0,1000.0,300.0,700.0,400.0,300.0
"[7s,3d,Kh,6c,8h]",2,,,CNN_4,0.40404,0,2,2,bet_small,400.0,100.0,4.0,200.0,,010,500.0,0.0,300.0,-300.0,-100.0,-200.0
"[3c,5d,Ks,2c,Jh]",2,,,man,0.3,1,2,2,call_small,500.0,100.0,5.0,200.0,1,0101,500.0,1000.0,300.0,700.0,500.0,200.0
"[7s,3d,Kh,6c,8h]",2,"[7s,3d,6c,8h]","[7s,3d,6c,8h,6h]",CNN_4,0.40404,0,0,0,draw,600.0,0,0.0,300.0,,01010,500.0,0.0,200.0,-200.0,0,-200.0
"[3c,5d,Ks,2c,Jh]",2,"[3c,5d,2c]","[3c,5d,2c,Ts,7h]",man,0.3,1,0,0,draw,600.0,0,0.0,300.0,,01010,500.0,1000.0,200.0,800.0,600.0,200.0
"[7s,3d,6c,8h,6h]",1,,,CNN_4,0.273134,0,4,3,bet_big,600.0,200.0,3.0,300.0,,01010,500.0,0.0,200.0,-200.0,-200.0,0.0
"[3c,5d,2c,Ts,7h]",1,,,man,0.3,1,3,4,call_big,800.0,200.0,4.0,300.0,1,010101,500.0,1000.0,200.0,800.0,800.0,0.0
"[7s,3d,6c,8h,6h]",1,"[7s,3d,8h,6h]","[7s,3d,8h,6h,Jd]",CNN_4,0.273134,0,0,0,draw,1000.0,0,0.0,500.0,,0101010,500.0,0.0,0.0,0.0,0,0
