hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result,oppn_hand,current_hand_win,hand_num,running_average,bet_val_vector,act_val_vector,num_draw_vector
"[Kh,Ah,Qh,8c,4d]",3,,,man,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,500.0,800.0,500.0,300.0,0.0,300.0,"[Kc,Ks,7h,8d,2c]",1.0,1,nan,[],[],[]
"[Kc,Ks,7h,8d,2c]",3,,,CNN_76_per,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,300.0,0.0,300.0,-300.0,-50,-250.0,"[Kh,Ah,Qh,8c,4d]",0.0,1,nan,[],[],[]
"[Kc,Ks,7h,8d,2c]",3,,,CNN_76_per,0.44514,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,300.0,0.0,250.0,-250.0,-150.0,-100.0,"[Kh,Ah,Qh,8c,4d]",0.0,1,nan,"[-2.0, 0.13297, -2.0, 0.10542, 0.00011]","[0.0, 0.10809, 0.0, 0.76931, 0.12259]","[-1.94608, 0.13955, 0.20366, 0.21806, 0.2402, 0.18625]"
"[Kh,Ah,Qh,8c,4d]",3,,,man,0.4,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,500.0,800.0,400.0,400.0,300.0,100.0,"[Kc,Ks,7h,8d,2c]",1.0,1,nan,[],[],[]
"[Kh,Ah,Qh,8c,4d]",3,"[8c,4d]","[8c,4d,2d,Tc,7d]",man,0.4,0,0,0,draw,400.0,0,0.0,200.0,10,10,500.0,800.0,300.0,500.0,400.0,100.0,"[Kc,Ks,7h,8d,2c]",1.0,1,nan,"[-2.0, -0.03764, -2.0, -0.02383, 0.00162]","[0.0, 0.0308, 0.0, 0.62261, 0.34658]","[-1.38534, 0.09142, 0.10659, 0.11411, 0.01188, -0.01902]"
"[Kc,Ks,7h,8d,2c]",3,"[7h,8d,2c]","[7h,8d,2c,9s,Qc]",CNN_76_per,0.44514,1,0,0,draw,400.0,0,0.0,200.0,10,10,300.0,0.0,100.0,-100.0,0,-100.0,"[8c,4d,2d,Tc,7d]",0.0,1,nan,"[-2.0, 0.22139, -2.0, 0.18675, -6e-05]","[0.0, 0.2538, 0.0, 0.74619, 0.0]","[-1.73381, 0.27883, 0.28957, 0.34073, 0.29781, 0.30575]"
"[8c,4d,2d,Tc,7d]",2,,,man,0.4,0,2,3,bet_small,400.0,100.0,4.0,200.0,,10,500.0,800.0,300.0,500.0,400.0,100.0,"[7h,8d,2c,9s,Qc]",1.0,1,nan,[],[],[]
"[7h,8d,2c,9s,Qc]",2,,,CNN_76_per,0.30865,1,3,2,call_small,500.0,100.0,5.0,200.0,1,101,300.0,0.0,100.0,-100.0,-100.0,0.0,"[8c,4d,2d,Tc,7d]",0.0,1,nan,"[-2.0, 0.06362, -2.0, 0.03968, 0.00255]","[0.0, 0.09314, 0.0, 0.71052, 0.19633]","[-1.79193, 0.13668, 0.15799, 0.19238, 0.21255, 0.11098]"
"[8c,4d,2d,Tc,7d]",2,"[8c,4d,2d,Tc,7d]","[8c,4d,2d,Tc,7d]",man,0.4,0,0,0,draw,600.0,0,0.0,300.0,10,1010,500.0,800.0,200.0,600.0,600.0,0.0,"[7h,8d,2c,9s,Qc]",1.0,1,nan,"[-2.0, 0.23712, -2.0, 0.20177, -0.00033]","[0.0, 0.2852, 0.0, 0.71479, 0.0]","[-1.7212, 0.24236, 0.2805, 0.30916, 0.2941, 0.28187]"
"[7h,8d,2c,9s,Qc]",2,"[7h,8d,2c]","[7h,8d,2c,Qd,3h]",CNN_76_per,0.30865,1,0,0,draw,600.0,0,0.0,300.0,10,1010,300.0,0.0,0.0,0.0,0,0,"[8c,4d,2d,Tc,7d]",0.0,1,nan,"[-2.0, -0.19981, -2.0, -0.22157, -0.00704]","[0.0, 0.0, 0.0, 0.08903, 0.91096]","[-1.43812, -0.01265, 0.02268, 0.04251, -0.02313, -0.15074]"
"[8c,4d,2d,Tc,7d]",1,,,man,0.4,0,5,3,bet_big,600.0,200.0,3.0,300.0,,1010,500.0,800.0,200.0,600.0,600.0,0.0,"[7h,8d,2c,Qd,3h]",1.0,1,nan,[],[],[]
"[7h,8d,2c,Qd,3h]",1,,,CNN_76_per,0.29193,1,3,5,FOLD,800.0,0,0.0,300.0,1,10101,300.0,0.0,0.0,0.0,0,0,"[8c,4d,2d,Tc,7d]",0.0,1,nan,"[-2.0, -0.03627, -2.0, 0.04031, 0.00121]","[0.0, 0.0, 0.0, 0.68338, 0.31661]","[-1.81102, 0.12827, 0.16456, 0.17303, 0.22694, 0.09467]"
"[9c,9h,7c,Qc,4c]",3,,,CNN_76_per,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,300.0,0.0,300.0,-300.0,-100,-200.0,"[2h,Ts,6h,5h,Ks]",0.0,2,-300.0,[],[],[]
"[2h,Ts,6h,5h,Ks]",3,,,man,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,800.0,500.0,300.0,100.0,200.0,"[9c,9h,7c,Qc,4c]",1.0,2,300.0,[],[],[]
"[2h,Ts,6h,5h,Ks]",3,,,man,0.4,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,800.0,450.0,350.0,150.0,200.0,"[9c,9h,7c,Qc,4c]",1.0,2,300.0,[],[],[]
"[9c,9h,7c,Qc,4c]",3,,,CNN_76_per,0.35164,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,300.0,0.0,200.0,-200.0,-100.0,-100.0,"[2h,Ts,6h,5h,Ks]",0.0,2,-300.0,"[-2.0, 0.0029, -2.0, 0.0164, -0.00319]","[0.0, 0.0, 0.0, 0.60146, 0.39853]","[-1.90786, 0.05955, 0.12781, 0.0824, 0.04563, 0.01859]"
"[9c,9h,7c,Qc,4c]",3,"[9h,7c,4c]","[9h,7c,4c,2c,Jd]",CNN_76_per,0.35164,0,0,0,draw,400.0,0,0.0,200.0,10,10,300.0,0.0,100.0,-100.0,0,-100.0,"[2h,Ts,6h,5h,Ks]",0.0,2,-300.0,"[-2.0, -0.10814, -2.0, -0.08989, 0.00147]","[0.0, 0.0, 0.0, 0.40645, 0.59354]","[-1.30947, 0.05954, 0.05242, 0.04668, -0.07612, -0.14022]"
"[2h,Ts,6h,5h,Ks]",3,"[2h,6h,5h]","[2h,6h,5h,7s,9d]",man,0.4,1,0,0,draw,400.0,0,0.0,200.0,10,10,500.0,800.0,300.0,500.0,400.0,100.0,"[9h,7c,4c,2c,Jd]",0.0,2,300.0,"[-2.0, 0.14456, -2.0, 0.11548, -0.00055]","[0.0, 0.20241, 0.0, 0.79758, 0.0]","[-1.64573, 0.22323, 0.22337, 0.26752, 0.20414, 0.20194]"
"[9h,7c,4c,2c,Jd]",2,,,CNN_76_per,0.38025,0,3,3,check,400.0,0,0.0,200.0,,10,300.0,0.0,100.0,-100.0,0,-100.0,"[2h,6h,5h,7s,9d]",0.0,2,-300.0,"[0.18597, -2.0, 0.12739, -2.0, -2.0]","[0.69993, 0.0, 0.30006, 0.0, 0.0]","[-2.0, 0.02529, 0.20689, 0.22379, 0.21869, 0.25556]"
"[2h,6h,5h,7s,9d]",2,,,man,0.4,1,3,3,bet_small,400.0,100.0,4.0,200.0,0,100,500.0,800.0,300.0,500.0,400.0,100.0,"[9h,7c,4c,2c,Jd]",1.0,2,300.0,[],[],[]
"[9h,7c,4c,2c,Jd]",2,,,CNN_76_per,0.38025,0,3,3,call_small,500.0,100.0,5.0,200.0,01,1001,300.0,0.0,100.0,-100.0,-100.0,0.0,"[2h,6h,5h,7s,9d]",0.0,2,-300.0,"[-2.0, 0.12543, -2.0, 0.11203, -0.00059]","[0.0, 0.18272, 0.0, 0.81727, 0.0]","[-1.55478, 0.18714, 0.18852, 0.24694, 0.13342, 0.09465]"
"[9h,7c,4c,2c,Jd]",2,"[7c,4c,2c]","[7c,4c,2c,4d,Qs]",CNN_76_per,0.34113,0,0,0,draw,600.0,0,0.0,300.0,010,10010,300.0,0.0,0.0,0.0,0,0,"[2h,6h,5h,7s,9d]",0.0,2,-300.0,"[-2.0, 0.17019, -2.0, 0.14672, -0.00068]","[0.0, 0.19834, 0.0, 0.80165, 0.0]","[-1.61803, 0.2221, 0.22054, 0.27901, 0.18543, 0.1533]"
"[2h,6h,5h,7s,9d]",2,"[2h,6h,5h,7s,9d]","[2h,6h,5h,7s,9d]",man,0.4,1,0,0,draw,600.0,0,0.0,300.0,010,10010,500.0,800.0,200.0,600.0,600.0,0.0,"[7c,4c,2c,4d,Qs]",1.0,2,300.0,"[-2.0, 0.54348, -2.0, 0.456, 0.00041]","[0.0, 0.34576, 0.0, 0.65423, 0.0]","[-1.86389, 0.2439, 0.31824, 0.40461, 0.5834, 0.65326]"
"[7c,4c,2c,4d,Qs]",1,,,CNN_76_per,0.18767,0,3,5,check,600.0,0,0.0,300.0,,10010,300.0,0.0,0.0,0.0,0,0,"[2h,6h,5h,7s,9d]",0.0,2,-300.0,"[-0.02663, -2.0, 0.0075, -2.0, -2.0]","[0.15343, 0.0, 0.84656, 0.0, 0.0]","[-2.0, 0.05762, 0.11153, 0.14064, 0.05754, 0.03307]"
"[2h,6h,5h,7s,9d]",1,,,man,0.4,1,5,3,bet_big,600.0,200.0,3.0,300.0,0,100100,500.0,800.0,200.0,600.0,600.0,0.0,"[7c,4c,2c,4d,Qs]",1.0,2,300.0,[],[],[]
"[7c,4c,2c,4d,Qs]",1,,,CNN_76_per,0.18767,0,3,5,FOLD,800.0,0,0.0,300.0,01,1001001,300.0,0.0,0.0,0.0,0,0,"[2h,6h,5h,7s,9d]",0.0,2,-300.0,"[-2.0, -0.05311, -2.0, -0.04845, 0.00142]","[0.0, 0.0, 0.0, 0.36915, 0.63084]","[-1.6482, 0.08685, 0.08187, 0.15491, 0.07316, -0.08755]"
"[7h,Kh,Ad,8s,4c]",3,,,man,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,1000.0,0.0,1000.0,-1000.0,-100,-900.0,"[8h,Jh,Qc,4h,2h]",0.0,3,300.0,[],[],[]
"[8h,Jh,Qc,4h,2h]",3,,,CNN_76_per,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,1000.0,2000.0,1000.0,1000.0,100.0,900.0,"[7h,Kh,Ad,8s,4c]",1.0,3,-300.0,[],[],[]
"[8h,Jh,Qc,4h,2h]",3,,,CNN_76_per,0.47512,1,0,0,call_small,150.0,50.0,3.0,50.0,,,1000.0,2000.0,950.0,1050.0,150.0,900.0,"[7h,Kh,Ad,8s,4c]",1.0,3,-300.0,"[-2.0, 0.20632, -2.0, 0.16669, 0.0001]","[0.0, 0.16315, 0.0, 0.83684, 0.0]","[-1.97379, 0.22706, 0.26631, 0.28816, 0.30961, 0.23593]"
"[7h,Kh,Ad,8s,4c]",3,,,man,0.4,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,1000.0,0.0,900.0,-900.0,-100.0,-800.0,"[8h,Jh,Qc,4h,2h]",0.0,3,300.0,[],[],[]
"[8h,Jh,Qc,4h,2h]",3,,,CNN_76_per,0.47512,1,0,0,call_small,300.0,100.0,3.0,100.0,01,01,1000.0,2000.0,900.0,1100.0,300.0,800.0,"[7h,Kh,Ad,8s,4c]",1.0,3,-300.0,"[-2.0, 0.27748, -2.0, 0.21907, 0.00047]","[0.0, 0.20899, 0.0, 0.791, 0.0]","[-1.75126, 0.3381, 0.35511, 0.39383, 0.36449, 0.17402]"
"[7h,Kh,Ad,8s,4c]",3,"[7h,8s,4c]","[7h,8s,4c,3h,2d]",man,0.4,0,0,0,draw,400.0,0,0.0,200.0,010,010,1000.0,0.0,800.0,-800.0,0,-800.0,"[8h,Jh,Qc,4h,2h]",0.0,3,300.0,"[-2.0, 0.05337, -2.0, 0.00295, -0.05361]","[0.0, 0.26023, 0.0, 0.39201, 0.34775]","[-1.41099, 0.06681, 0.09095, 0.15088, 0.06309, 0.10646]"
