hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result,oppn_hand,current_hand_win
"[4c,Ac,4s,2c,9c]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0,0.0,50.0,"[Ks,6s,Ad,Ts,Qs]",0.0
"[Ks,6s,Ad,Ts,Qs]",3,,,CNN_76,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0,-50,0.0,"[4c,Ac,4s,2c,9c]",1.0
"[Ks,6s,Ad,Ts,Qs]",3,,,CNN_76,0.31352970125676127,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0,0,0,"[4c,Ac,4s,2c,9c]",1.0
"[7s,Td,5d,9s,As]",3,,,CNN_76,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,1100.0,2000.0,1100.0,900.0,0.0,900.0,"[2d,9d,6c,4d,Qd]",0.0
"[2d,9d,6c,4d,Qd]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,900.0,0.0,900.0,-900.0,-50,-850.0,"[7s,Td,5d,9s,As]",1.0
"[2d,9d,6c,4d,Qd]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,900.0,0.0,850.0,-850.0,-150.0,-700.0,"[7s,Td,5d,9s,As]",1.0
"[7s,Td,5d,9s,As]",3,,,CNN_76,0.34952260338289098,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,1100.0,2000.0,1000.0,1000.0,300.0,700.0,"[2d,9d,6c,4d,Qd]",0.0
"[7s,Td,5d,9s,As]",3,"[7s,5d,9s]","[7s,5d,9s,Qh,3s]",CNN_76,0.34952260338289098,0,0,0,draw,400.0,0,0.0,200.0,10,10,1100.0,2000.0,900.0,1100.0,400.0,700.0,"[2d,9d,6c,4d,Qd]",0.0
"[2d,9d,6c,4d,Qd]",3,"[2d,9d,6c,4d]","[2d,9d,6c,4d,8h]",man,0.3,1,0,0,draw,400.0,0,0.0,200.0,10,10,900.0,0.0,700.0,-700.0,0,-700.0,"[7s,5d,9s,Qh,3s]",1.0
"[7s,5d,9s,Qh,3s]",2,,,CNN_76,0.36796563097965285,0,3,4,check,400.0,0,0.0,200.0,,10,1100.0,2000.0,900.0,1100.0,400.0,700.0,"[2d,9d,6c,4d,8h]",0.0
"[2d,9d,6c,4d,8h]",2,,,man,0.3,1,4,3,bet_small,400.0,100.0,4.0,200.0,0,100,900.0,0.0,700.0,-700.0,-100.0,-600.0,"[7s,5d,9s,Qh,3s]",1.0
"[7s,5d,9s,Qh,3s]",2,,,CNN_76,0.36796563097965285,0,3,4,raise_small,500.0,200.0,2.5,200.0,01,1001,1100.0,2000.0,900.0,1100.0,500.0,600.0,"[2d,9d,6c,4d,8h]",0.0
"[2d,9d,6c,4d,8h]",2,,,man,0.3,1,4,3,raise_small,700.0,200.0,3.5,300.0,011,10011,900.0,0.0,600.0,-600.0,-200.0,-400.0,"[7s,5d,9s,Qh,3s]",1.0
"[7s,5d,9s,Qh,3s]",2,,,CNN_76,0.36796563097965285,0,3,4,call_small,900.0,100.0,9.0,400.0,0111,100111,1100.0,2000.0,700.0,1300.0,900.0,400.0,"[2d,9d,6c,4d,8h]",0.0
