hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[Jh,8d,7c,5h,Ah]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,300.0,500.0,300.0,200.0,0.0,200.0
"[Ad,Tc,Qs,7d,3s]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,0.0,200.0,-200.0,-50,-150.0
"[Ad,Tc,Qs,7d,3s]",3,,,CNN_45,0.38238452933585543,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,0.0,150.0,-150.0,-150.0,0.0
"[Jh,8d,7c,5h,Ah]",3,,,man,0.3,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,300.0,500.0,200.0,300.0,300.0,0.0
"[Ad,Tc,Qs,7d,3s]",3,,,CNN_45,0.38238452933585543,1,0,0,FOLD,500.0,0,0.0,200.0,11,11,200.0,0.0,0.0,0.0,0,0
"[6s,4s,Qs,Kh,7d]",3,,,CNN_45,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0
"[3d,7c,Th,2h,Kd]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0
"[3d,7c,Th,2h,Kd]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0
"[6s,4s,Qs,Kh,7d]",3,,,CNN_45,0.43410393068070108,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0
"[Td,8d,Jd,Qc,5h]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,900.0,0.0,900.0,-900.0,-100,-800.0
"[5c,Tc,7s,4c,Qh]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,900.0,1800.0,900.0,900.0,100.0,800.0
"[5c,Tc,7s,4c,Qh]",3,,,CNN_45,0.40058105564559604,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,900.0,1800.0,850.0,950.0,150.0,800.0
"[Td,8d,Jd,Qc,5h]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,900.0,0.0,800.0,-800.0,-100.0,-700.0
"[Td,8d,Jd,Qc,5h]",3,"[8d,5h]","[8d,5h,4s,8h,6h]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,,10,900.0,0.0,700.0,-700.0,0,-700.0
"[5c,Tc,7s,4c,Qh]",3,"[5c,7s,4c]","[5c,7s,4c,4h,3h]",CNN_45,0.40058105564559604,1,0,0,draw,400.0,0,0.0,200.0,,10,900.0,1800.0,700.0,1100.0,400.0,700.0
"[8d,5h,4s,8h,6h]",2,,,man,0.3,0,2,3,bet_small,400.0,100.0,4.0,200.0,,10,900.0,0.0,700.0,-700.0,-100.0,-600.0
"[5c,7s,4c,4h,3h]",2,,,CNN_45,0.46067994738500623,1,3,2,call_small,500.0,100.0,5.0,200.0,1,101,900.0,1800.0,700.0,1100.0,500.0,600.0
"[8d,5h,4s,8h,6h]",2,"[5h,4s,8h,6h]","[5h,4s,8h,6h,Jc]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,,1010,900.0,0.0,600.0,-600.0,0,-600.0
"[5c,7s,4c,4h,3h]",2,"[5c,7s,4c,3h]","[5c,7s,4c,3h,5d]",CNN_45,0.46067994738500623,1,0,0,draw,600.0,0,0.0,300.0,,1010,900.0,1800.0,600.0,1200.0,600.0,600.0
"[5h,4s,8h,6h,Jc]",1,,,man,0.3,0,4,4,check,600.0,0,0.0,300.0,,1010,900.0,0.0,600.0,-600.0,0,-600.0
"[5c,7s,4c,3h,5d]",1,,,CNN_45,0.30768141518008096,1,4,4,check,600.0,0,0.0,300.0,0,10100,900.0,1800.0,600.0,1200.0,600.0,600.0
"[5h,4s,8h,6h,Jc]",1,"[5h,4s,8h,6h]","[5h,4s,8h,6h,2h]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,,101000,900.0,0.0,600.0,-600.0,0,-600.0
"[5c,7s,4c,3h,5d]",1,"[5c,7s,4c,3h]","[5c,7s,4c,3h,2c]",CNN_45,0.30768141518008096,1,0,0,draw,600.0,0,0.0,300.0,,101000,900.0,1800.0,600.0,1200.0,600.0,600.0
"[5h,4s,8h,6h,2h]",0,,,man,0.3,0,4,4,bet_big,600.0,200.0,3.0,300.0,,101000,900.0,0.0,600.0,-600.0,-200.0,-400.0
"[5c,7s,4c,3h,2c]",0,,,CNN_45,0.93172062245899034,1,4,4,raise_big,800.0,400.0,2.0,300.0,1,1010001,900.0,1800.0,600.0,1200.0,800.0,400.0
"[5h,4s,8h,6h,2h]",0,,,man,0.3,0,4,4,raise_big,1200.0,400.0,3.0,500.0,11,10100011,900.0,0.0,400.0,-400.0,-400.0,0.0
"[5c,7s,4c,3h,2c]",0,,,CNN_45,0.93172062245899034,1,4,4,call_big,1600.0,200.0,8.0,700.0,111,101000111,900.0,1800.0,200.0,1600.0,1600.0,0.0
