hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result,oppn_hand,current_hand_win,hand_num,running_average,bet_val_vector,act_val_vector,num_draw_vector
"[As,8d,Jd,Kd,9d]",3,,,man,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0,"[Jh,Jc,2h,5h,3h]",1.0,1,nan,[],[],[]
"[Jh,Jc,2h,5h,3h]",3,,,CNN_76_per,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0,"[As,8d,Jd,Kd,9d]",0.0,1,nan,[],[],[]
"[Jh,Jc,2h,5h,3h]",3,,,CNN_76_per,0.4813,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0,"[As,8d,Jd,Kd,9d]",0.0,1,nan,"[-2.0, 0.19234, -2.0, 0.17637, -0.0005]","[0.0, 0.16223, 0.0, 0.83776, 0.0]","[-1.75895, 0.31735, 0.30266, 0.33883, 0.29029, 0.08393]"
"[As,8d,Jd,Kd,9d]",3,,,man,0.4,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0,"[Jh,Jc,2h,5h,3h]",1.0,1,nan,[],[],[]
"[As,Qs,Jc,4c,4h]",3,,,CNN_76_per,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,200.0,0.0,200.0,-200.0,-100,-100.0,"[2c,9d,7h,7c,6c]",1.0,2,100.0,[],[],[]
"[2c,9d,7h,7c,6c]",3,,,man,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,300.0,500.0,300.0,200.0,100.0,100.0,"[As,Qs,Jc,4c,4h]",0.0,2,-100.0,[],[],[]
"[2c,9d,7h,7c,6c]",3,,,man,0.4,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,300.0,500.0,250.0,250.0,150.0,100.0,"[As,Qs,Jc,4c,4h]",0.0,2,-100.0,[],[],[]
"[As,Qs,Jc,4c,4h]",3,,,CNN_76_per,0.33524,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,200.0,0.0,100.0,-100.0,-100.0,0.0,"[2c,9d,7h,7c,6c]",1.0,2,100.0,"[-2.0, -0.09356, -2.0, -0.06934, 0.00116]","[0.0, 0.0, 0.0, 0.44534, 0.55465]","[-1.31342, 0.06769, 0.05464, 0.05199, -0.06642, -0.10668]"
"[As,Qs,Jc,4c,4h]",3,[4h],"[4h,Ad,Ac,Jh,3d]",CNN_76_per,0.33524,0,0,0,draw,400.0,0,0.0,200.0,10,10,200.0,0.0,0.0,0.0,0,0,"[2c,9d,7h,7c,6c]",1.0,2,100.0,"[-2.0, -0.1009, -2.0, -0.04913, 0.00083]","[0.0, 0.0, 0.0, 0.48068, 0.51931]","[-1.34616, 0.07747, 0.06252, 0.07164, -0.04075, -0.07232]"
"[2c,9d,7h,7c,6c]",3,"[2c,7h,6c]","[2c,7h,6c,Js,Ks]",man,0.4,1,0,0,draw,400.0,0,0.0,200.0,10,10,300.0,500.0,100.0,400.0,400.0,0.0,"[4h,Ad,Ac,Jh,3d]",1.0,2,-100.0,"[-2.0, 0.34818, -2.0, 0.2946, 0.00053]","[0.0, 0.31801, 0.0, 0.68198, 0.0]","[-1.7783, 0.2822, 0.33338, 0.37958, 0.39821, 0.43939]"
"[4h,Ad,Ac,Jh,3d]",2,,,CNN_76_per,0.27999,0,1,3,check,400.0,0,0.0,200.0,,10,200.0,0.0,0.0,0.0,0,0,"[2c,7h,6c,Js,Ks]",0.0,2,100.0,"[-0.26533, -2.0, -0.05178, -2.0, -2.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[-1.79488, 0.01299, 0.01842, -0.01489, 0.01946, -0.01191]"
"[2c,7h,6c,Js,Ks]",2,,,man,0.4,1,3,1,bet_small,400.0,100.0,4.0,200.0,0,100,300.0,500.0,100.0,400.0,400.0,0.0,"[4h,Ad,Ac,Jh,3d]",1.0,2,-100.0,[],[],[]
"[4h,Ad,Ac,Jh,3d]",2,,,CNN_76_per,0.27999,0,1,3,FOLD,500.0,0,0.0,200.0,01,1001,200.0,0.0,0.0,0.0,0,0,"[2c,7h,6c,Js,Ks]",0.0,2,100.0,"[-2.0, -0.37179, -2.0, -0.16515, -0.00601]","[0.0, 0.0, 0.0, 0.25035, 0.74964]","[-0.9716, 0.003, 0.01113, -0.02035, -0.22089, -0.3382]"
"[3h,Kd,Th,Qd,Jd]",3,,,man,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0,"[7s,5c,9h,Qc,6h]",0.0,3,50.0,[],[],[]
"[7s,5c,9h,Qc,6h]",3,,,CNN_76_per,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0,"[3h,Kd,Th,Qd,Jd]",1.0,3,-50.0,[],[],[]
"[7s,5c,9h,Qc,6h]",3,,,CNN_76_per,0.41168,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0,"[3h,Kd,Th,Qd,Jd]",1.0,3,-50.0,"[-2.0, 0.01839, -2.0, 0.01045, 0.00185]","[0.0, 0.14233, 0.0, 0.79873, 0.05892]","[-1.58744, 0.1316, 0.17508, 0.17976, 0.0914, 0.12835]"
"[3h,Kd,Th,Qd,Jd]",3,,,man,0.4,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0,"[7s,5c,9h,Qc,6h]",0.0,3,50.0,[],[],[]
"[Tc,4d,6d,9d,Ts]",3,,,CNN_76_per,0.4,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,1000.0,600.0,400.0,0.0,400.0,"[Kd,2c,5c,2d,6s]",0.0,4,0.0,[],[],[]
"[Kd,2c,5c,2d,6s]",3,,,man,0.4,1,0,0,pos_SB,100.0,50,2.0,0.0,,,400.0,0.0,400.0,-400.0,-50,-350.0,"[Tc,4d,6d,9d,Ts]",1.0,4,0.0,[],[],[]
"[Kd,2c,5c,2d,6s]",3,,,man,0.4,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,400.0,0.0,350.0,-350.0,-150.0,-200.0,"[Tc,4d,6d,9d,Ts]",1.0,4,0.0,[],[],[]
"[Tc,4d,6d,9d,Ts]",3,,,CNN_76_per,0.37272,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,600.0,1000.0,500.0,500.0,300.0,200.0,"[Kd,2c,5c,2d,6s]",0.0,4,0.0,"[-2.0, 0.01248, -2.0, -0.02329, 0.00253]","[0.0, 0.02982, 0.0, 0.42078, 0.54938]","[-1.54945, 0.03611, 0.06534, 0.05255, 0.03021, -0.09519]"
"[Kd,2c,5c,2d,6s]",3,,,man,0.4,1,0,0,call_small,500.0,100.0,5.0,200.0,11,11,400.0,0.0,200.0,-200.0,-100.0,-100.0,"[Tc,4d,6d,9d,Ts]",1.0,4,0.0,[],[],[]
"[Tc,4d,6d,9d,Ts]",3,"[4d,6d,9d]","[4d,6d,9d,5d,Td]",CNN_76_per,0.37272,0,0,0,draw,600.0,0,0.0,300.0,110,110,600.0,1000.0,300.0,700.0,600.0,100.0,"[Kd,2c,5c,2d,6s]",0.0,4,0.0,"[-2.0, -1.15777, -2.0, 0.07333, 0.0]","[0.0, 0.0, 0.0, 0.74125, 0.25874]","[-1.60981, 0.12804, 0.13659, 0.21073, 0.13526, 0.15663]"
"[Kd,2c,5c,2d,6s]",3,"[5c,2d,6s]","[5c,2d,6s,Kc,4h]",man,0.4,1,0,0,draw,600.0,0,0.0,300.0,110,110,400.0,0.0,100.0,-100.0,0,-100.0,"[4d,6d,9d,5d,Td]",1.0,4,0.0,"[-2.0, 0.36888, -2.0, 0.30739, 0.00042]","[0.0, 0.3075, 0.0, 0.69249, 0.0]","[-1.83919, 0.36376, 0.39498, 0.47965, 0.46244, 0.46663]"
"[4d,6d,9d,5d,Td]",2,,,CNN_76_per,0.35417,0,3,3,check,600.0,0,0.0,300.0,,110,600.0,1000.0,300.0,700.0,600.0,100.0,"[5c,2d,6s,Kc,4h]",0.0,4,0.0,"[0.15447, -2.0, 0.22067, -2.0, -2.0]","[0.70244, 0.0, 0.29755, 0.0, 0.0]","[-2.0, 0.12671, 0.23013, 0.14531, 0.30102, 0.31395]"
