hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result
"[7d,6c,Jc,8s,Jd]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0
"[Kc,2h,Qs,Th,Td]",3,,,CNN,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0
"[Kc,2h,Qs,Th,Td]",3,,,CNN,0.34011,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0
"[5h,8c,Qc,6h,9h]",3,,,CNN,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,0.0,600.0,-600.0
"[Th,7h,Jd,2s,4s]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,800.0,1400.0,800.0,600.0
"[Th,7h,Jd,2s,4s]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,800.0,1400.0,750.0,650.0
"[5h,8c,Qc,6h,9h]",3,,,CNN,0.392602,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,600.0,0.0,500.0,-500.0
"[Th,7h,Jd,2s,4s]",3,,,man,0.3,1,0,0,call_small,500.0,100.0,5.0,200.0,11,11,800.0,1400.0,600.0,800.0
"[5h,8c,Qc,6h,9h]",3,"[5h,8c,6h,9h]","[5h,8c,6h,9h,8d]",,0.392602,0,0,0,draw,600.0,0,0.0,300.0,,110,600.0,0.0,300.0,-300.0
"[Th,7h,Jd,2s,4s]",3,"[7h,2s,4s]","[7h,2s,4s,Kh,3h]",,0.3,1,0,0,draw,600.0,0,0.0,300.0,,110,800.0,1400.0,500.0,900.0
"[5h,8c,6h,9h,8d]",2,,,CNN,0.295646,0,4,3,bet_small,600.0,100.0,6.0,300.0,,110,600.0,0.0,300.0,-300.0
"[7h,2s,4s,Kh,3h]",2,,,man,0.3,1,3,4,call_small,700.0,100.0,7.0,300.0,1,1101,800.0,1400.0,500.0,900.0
"[5h,8c,6h,9h,8d]",2,"[5h,6h,8d]","[5h,6h,8d,3d,Ac]",,0.295646,0,0,0,draw,800.0,0,0.0,400.0,,11010,600.0,0.0,200.0,-200.0
"[7h,2s,4s,Kh,3h]",2,"[7h,2s,4s,3h]","[7h,2s,4s,3h,Tc]",,0.3,1,0,0,draw,800.0,0,0.0,400.0,,11010,800.0,1400.0,400.0,1000.0
"[5h,6h,8d,3d,Ac]",1,,,CNN,0.277836,0,3,4,bet_big,800.0,200.0,4.0,400.0,,11010,600.0,0.0,200.0,-200.0
"[7h,2s,4s,3h,Tc]",1,,,man,0.3,1,4,3,raise_big,1000.0,400.0,2.5,400.0,1,110101,800.0,1400.0,400.0,1000.0
"[5h,6h,8d,3d,Ac]",1,,,CNN,0.277836,0,3,4,FOLD,1400.0,0,0.0,600.0,11,1101011,600.0,0.0,0.0,0.0
"[Qc,Ac,4d,2d,4h]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,400.0,600.0,400.0,200.0
"[3h,Ad,Qd,9s,5h]",3,,,CNN,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,0.0,200.0,-200.0
"[3h,Ad,Qd,9s,5h]",3,,,CNN,0.400546,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,0.0,150.0,-150.0
"[Qc,Ac,4d,2d,4h]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,400.0,600.0,300.0,300.0
"[Qc,Ac,4d,2d,4h]",3,"[2d,4h]","[2d,4h,9c,4s,4c]",,0.3,0,0,0,draw,400.0,0,0.0,200.0,,10,400.0,600.0,200.0,400.0
"[3h,Ad,Qd,9s,5h]",3,"[3h,9s,5h]","[3h,9s,5h,Kh,Kd]",,0.400546,1,0,0,draw,400.0,0,0.0,200.0,,10,200.0,0.0,0.0,0.0
"[2d,4h,9c,4s,4c]",2,,,man,0.3,0,2,3,check,400.0,0,0.0,200.0,,10,400.0,600.0,200.0,400.0
"[3h,9s,5h,Kh,Kd]",2,,,CNN,0.284857,1,3,2,check,400.0,0,0.0,200.0,0,100,200.0,0.0,0.0,0.0
"[2d,4h,9c,4s,4c]",2,"[2d,4h,9c]","[2d,4h,9c,Qs,Ah]",,0.3,0,0,0,draw,400.0,0,0.0,200.0,,1000,400.0,600.0,200.0,400.0
"[3h,9s,5h,Kh,Kd]",2,"[3h,9s,5h]","[3h,9s,5h,5d,8s]",,0.284857,1,0,0,draw,400.0,0,0.0,200.0,,1000,200.0,0.0,0.0,0.0
