hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result,oppn_hand,current_hand_win
"[Th,Kc,Kd,Qc,5d]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,900.0,1600.0,900.0,700.0,0.0,700.0,"[5s,6d,Jd,6s,2s]",0.0
"[5s,6d,Jd,6s,2s]",3,,,CNN_76,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,700.0,0.0,700.0,-700.0,-50,-650.0,"[Th,Kc,Kd,Qc,5d]",1.0
"[5s,6d,Jd,6s,2s]",3,,,CNN_76,0.461076,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,700.0,0.0,650.0,-650.0,-150.0,-500.0,"[Th,Kc,Kd,Qc,5d]",1.0
"[Th,Kc,Kd,Qc,5d]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,900.0,1600.0,800.0,800.0,300.0,500.0,"[5s,6d,Jd,6s,2s]",0.0
"[Th,Kc,Kd,Qc,5d]",3,[5d],"[5d,6h,4c,6c,2d]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,10,10,900.0,1600.0,700.0,900.0,400.0,500.0,"[5s,6d,Jd,6s,2s]",0.0
"[5s,6d,Jd,6s,2s]",3,"[5s,6d,2s]","[5s,6d,2s,9d,Jh]",CNN_76,0.461076,1,0,0,draw,400.0,0,0.0,200.0,10,10,700.0,0.0,500.0,-500.0,0,-500.0,"[5d,6h,4c,6c,2d]",0.0
"[5d,6h,4c,6c,2d]",2,,,man,0.3,0,1,3,check,400.0,0,0.0,200.0,,10,900.0,1600.0,700.0,900.0,400.0,500.0,"[5s,6d,2s,9d,Jh]",0.0
"[5s,6d,2s,9d,Jh]",2,,,CNN_76,0.387158,1,3,1,bet_small,400.0,100.0,4.0,200.0,0,100,700.0,0.0,500.0,-500.0,-100.0,-400.0,"[5d,6h,4c,6c,2d]",1.0
"[5d,6h,4c,6c,2d]",2,,,man,0.3,0,1,3,raise_small,500.0,200.0,2.5,200.0,01,1001,900.0,1600.0,700.0,900.0,500.0,400.0,"[5s,6d,2s,9d,Jh]",0.0
"[5s,6d,2s,9d,Jh]",2,,,CNN_76,0.387158,1,3,1,raise_small,700.0,200.0,3.5,300.0,011,10011,700.0,0.0,400.0,-400.0,-200.0,-200.0,"[5d,6h,4c,6c,2d]",1.0
