hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result,oppn_hand,current_hand_win,hand_num,running_average,bet_val_vector,act_val_vector,num_draw_vector
"[Th,3h,Ah,Ts,Kd]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,0.0,600.0,-600.0,-100,-500.0,"[3c,3s,4h,8h,9h]",0.0,1,nan,[],[],[]
"[3c,3s,4h,8h,9h]",3,,,CNN_76_per,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,600.0,1200.0,600.0,600.0,100.0,500.0,"[Th,3h,Ah,Ts,Kd]",1.0,1,nan,[],[],[]
"[3c,3s,4h,8h,9h]",3,,,CNN_76_per,0.44284,1,0,0,call_small,150.0,50.0,3.0,50.0,,,600.0,1200.0,550.0,650.0,150.0,500.0,"[Th,3h,Ah,Ts,Kd]",1.0,1,nan,"[-2.0, 0.09501, -2.0, 0.14389, -0.0009]","[0.0, 0.12613, 0.0, 0.87386, 0.0]","[-1.94909, 0.17376, 0.23255, 0.26409, 0.26773, 0.20315]"
"[Th,3h,Ah,Ts,Kd]",3,,,man,0.3,0,0,0,check,200.0,0,0.0,100.0,0,0,600.0,0.0,500.0,-500.0,0,-500.0,"[3c,3s,4h,8h,9h]",0.0,1,nan,[],[],[]
"[Th,3h,Ah,Ts,Kd]",3,[3h],"[3h,4c,Kc,6h,7d]",man,0.3,0,0,0,draw,200.0,0,0.0,100.0,00,00,600.0,0.0,500.0,-500.0,0,-500.0,"[3c,3s,4h,8h,9h]",0.0,1,nan,"[-2.0, 0.00982, 0.07035, -2.0, -2.0]","[0.0, 0.40629, 0.5937, 0.0, 0.0]","[-2.0, -0.00223, 0.06149, 0.12096, 0.0498, -0.02952]"
"[3c,3s,4h,8h,9h]",3,"[3c,4h,8h,9h]","[3c,4h,8h,9h,Js]",CNN_76_per,0.44284,1,0,0,draw,200.0,0,0.0,100.0,00,00,600.0,1200.0,500.0,700.0,200.0,500.0,"[3h,4c,Kc,6h,7d]",0.0,1,nan,"[-2.0, 0.07881, -2.0, 0.09933, -8e-05]","[0.07451, 0.12758, 0.01522, 0.53394, 0.24872]","[-1.91286, 0.10789, 0.19343, 0.21237, 0.22671, 0.20481]"
"[3h,4c,Kc,6h,7d]",2,,,man,0.3,0,1,4,check,200.0,0,0.0,100.0,,00,600.0,0.0,500.0,-500.0,0,-500.0,"[3c,4h,8h,9h,Js]",0.0,1,nan,[],[],[]
"[3c,4h,8h,9h,Js]",2,,,CNN_76_per,0.33968,1,4,1,bet_small,200.0,100.0,2.0,100.0,0,000,600.0,1200.0,500.0,700.0,200.0,500.0,"[3h,4c,Kc,6h,7d]",1.0,1,nan,"[0.18364, -2.0, 0.1213, -2.0, -2.0]","[0.69597, 0.0, 0.30402, 0.0, 0.0]","[-2.0, 0.04929, 0.19272, 0.1882, 0.18442, 0.22382]"
"[3h,4c,Kc,6h,7d]",2,,,man,0.3,0,1,4,call_small,300.0,100.0,3.0,100.0,01,0001,600.0,0.0,500.0,-500.0,-100.0,-400.0,"[3c,4h,8h,9h,Js]",0.0,1,nan,[],[],[]
"[3h,4c,Kc,6h,7d]",2,"[3h,4c,6h,7d]","[3h,4c,6h,7d,As]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,010,00010,600.0,0.0,400.0,-400.0,0,-400.0,"[3c,4h,8h,9h,Js]",0.0,1,nan,"[-2.0, 0.21525, -2.0, 0.19387, -0.0003]","[0.0, 0.18627, 0.0, 0.81372, 0.0]","[-1.91132, 0.2044, 0.18639, 0.25169, 0.28743, 0.27696]"
"[3c,4h,8h,9h,Js]",2,"[3c,4h,8h,9h]","[3c,4h,8h,9h,Ad]",CNN_76_per,0.33968,1,0,0,draw,400.0,0,0.0,200.0,010,00010,600.0,1200.0,400.0,800.0,400.0,400.0,"[3h,4c,6h,7d,As]",1.0,1,nan,"[-2.0, 0.06402, -2.0, 0.0763, 0.0003]","[0.0, 0.0, 0.0, 0.85679, 0.1432]","[-1.96853, 0.06475, 0.20366, 0.18934, 0.19275, 0.16228]"
"[3h,4c,6h,7d,As]",1,,,man,0.3,0,4,4,check,400.0,0,0.0,200.0,,00010,600.0,0.0,400.0,-400.0,0,-400.0,"[3c,4h,8h,9h,Ad]",1.0,1,nan,[],[],[]
"[3c,4h,8h,9h,Ad]",1,,,CNN_76_per,0.23363,1,4,4,bet_big,400.0,200.0,2.0,200.0,0,000100,600.0,1200.0,400.0,800.0,400.0,400.0,"[3h,4c,6h,7d,As]",0.0,1,nan,"[0.19347, -2.0, 0.12842, -2.0, -2.0]","[0.65135, 0.0, 0.34864, 0.0, 0.0]","[-2.0, -0.01934, 0.21154, 0.20153, 0.19841, 0.24986]"
"[3h,4c,6h,7d,As]",1,,,man,0.3,0,4,4,call_big,600.0,200.0,3.0,200.0,01,0001001,600.0,0.0,400.0,-400.0,-200.0,-200.0,"[3c,4h,8h,9h,Ad]",1.0,1,nan,[],[],[]
"[3h,4c,6h,7d,As]",1,"[3h,4c,6h,7d]","[3h,4c,6h,7d,Qc]",man,0.3,0,0,0,draw,800.0,0,0.0,400.0,010,00010010,600.0,0.0,200.0,-200.0,0,-200.0,"[3c,4h,8h,9h,Ad]",1.0,1,nan,"[-2.0, 0.11842, -2.0, 0.14364, 0.00209]","[0.0, 0.02317, 0.0, 0.97682, 0.0]","[-1.99572, 0.0717, 0.21361, 0.24126, 0.28953, 0.19964]"
"[3c,4h,8h,9h,Ad]",1,"[3c,4h,8h,9h]","[3c,4h,8h,9h,5s]",CNN_76_per,0.23363,1,0,0,draw,800.0,0,0.0,400.0,010,00010010,600.0,1200.0,200.0,1000.0,800.0,200.0,"[3h,4c,6h,7d,Qc]",0.0,1,nan,"[-2.0, 0.24019, -2.0, 0.21903, -0.00028]","[0.0, 0.07139, 0.0, 0.9286, 0.0]","[-2.0, 0.13122, 0.27414, 0.3626, 0.40739, 0.33759]"
"[3h,4c,6h,7d,Qc]",0,,,man,0.3,0,4,4,check,800.0,0,0.0,400.0,,00010010,600.0,0.0,200.0,-200.0,0,-200.0,"[3c,4h,8h,9h,5s]",0.0,1,nan,[],[],[]
"[3c,4h,8h,9h,5s]",0,,,CNN_76_per,0.52184,1,4,4,bet_big,800.0,200.0,4.0,400.0,0,000100100,600.0,1200.0,200.0,1000.0,800.0,200.0,"[3h,4c,6h,7d,Qc]",1.0,1,nan,"[0.8915, -2.0, 0.83715, -2.0, -2.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[-2.0, 0.00954, 0.30358, 0.41189, 0.51509, 0.84688]"
"[3h,4c,6h,7d,Qc]",0,,,man,0.3,0,4,4,call_big,1000.0,200.0,5.0,400.0,01,0001001001,600.0,0.0,200.0,-200.0,-200.0,0.0,"[3c,4h,8h,9h,5s]",0.0,1,nan,[],[],[]
"[3h,2h,Jd,3d,8c]",3,,,CNN_76_per,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0,0.0,50.0,"[9c,Jc,9s,Ah,Ks]",1.0,2,600.0,[],[],[]
"[9c,Jc,9s,Ah,Ks]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0,-50,0.0,"[3h,2h,Jd,3d,8c]",0.0,2,-600.0,[],[],[]
"[9c,Jc,9s,Ah,Ks]",3,,,man,0.3,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0,0,0,"[3h,2h,Jd,3d,8c]",0.0,2,-600.0,[],[],[]
"[Ts,2c,3h,2s,6d]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,800.0,0.0,800.0,-800.0,-100,-700.0,"[Th,8c,2d,3d,6c]",0.0,3,-325.0,[],[],[]
"[Th,8c,2d,3d,6c]",3,,,CNN_76_per,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,800.0,1600.0,800.0,800.0,100.0,700.0,"[Ts,2c,3h,2s,6d]",1.0,3,325.0,[],[],[]
"[Th,8c,2d,3d,6c]",3,,,CNN_76_per,0.56352,1,0,0,call_small,150.0,50.0,3.0,50.0,,,800.0,1600.0,750.0,850.0,150.0,700.0,"[Ts,2c,3h,2s,6d]",1.0,3,325.0,"[-2.0, 0.15714, -2.0, 0.19836, -0.0009]","[0.0, 0.1955, 0.0, 0.80449, 0.0]","[-1.9899, 0.20909, 0.21046, 0.27065, 0.31706, 0.28087]"
"[Ts,2c,3h,2s,6d]",3,,,man,0.3,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,800.0,0.0,700.0,-700.0,-100.0,-600.0,"[Th,8c,2d,3d,6c]",0.0,3,-325.0,[],[],[]
"[Th,8c,2d,3d,6c]",3,,,CNN_76_per,0.56352,1,0,0,raise_small,300.0,200.0,1.5,100.0,01,01,800.0,1600.0,700.0,900.0,300.0,600.0,"[Ts,2c,3h,2s,6d]",1.0,3,325.0,"[-2.0, 0.32925, -2.0, 0.29382, 0.0004]","[0.0, 0.26545, 0.0, 0.73454, 0.0]","[-1.9578, 0.27002, 0.33875, 0.38544, 0.46746, 0.39038]"
"[Ts,2c,3h,2s,6d]",3,,,man,0.3,0,0,0,call_small,500.0,100.0,5.0,200.0,011,011,800.0,0.0,600.0,-600.0,-100.0,-500.0,"[Th,8c,2d,3d,6c]",0.0,3,-325.0,[],[],[]
"[Ts,2c,3h,2s,6d]",3,"[3h,2s,6d]","[3h,2s,6d,Qd,7d]",man,0.3,0,0,0,draw,600.0,0,0.0,300.0,0110,0110,800.0,0.0,500.0,-500.0,0,-500.0,"[Th,8c,2d,3d,6c]",0.0,3,-325.0,"[-2.0, 0.32565, -2.0, 0.30373, -0.01074]","[0.0, 0.33851, 0.0, 0.66148, 0.0]","[-1.89511, 0.38008, 0.38144, 0.43565, 0.43145, 0.30669]"
"[Th,8c,2d,3d,6c]",3,"[8c,2d,3d,6c]","[8c,2d,3d,6c,Ac]",CNN_76_per,0.56352,1,0,0,draw,600.0,0,0.0,300.0,0110,0110,800.0,1600.0,500.0,1100.0,600.0,500.0,"[3h,2s,6d,Qd,7d]",1.0,3,325.0,"[-2.0, 0.32076, -2.0, 0.28763, 0.00049]","[0.0, 0.2861, 0.0, 0.71389, 0.0]","[-1.97669, 0.26797, 0.33299, 0.38844, 0.43606, 0.38342]"
"[3h,2s,6d,Qd,7d]",2,,,man,0.3,0,3,4,check,600.0,0,0.0,300.0,,0110,800.0,0.0,500.0,-500.0,0,-500.0,"[8c,2d,3d,6c,Ac]",1.0,3,-325.0,[],[],[]
"[8c,2d,3d,6c,Ac]",2,,,CNN_76_per,0.46318,1,4,3,bet_small,600.0,100.0,6.0,300.0,0,01100,800.0,1600.0,500.0,1100.0,600.0,500.0,"[3h,2s,6d,Qd,7d]",0.0,3,325.0,"[0.3286, -2.0, 0.28339, -2.0, -2.0]","[0.78628, 0.0, 0.21371, 0.0, 0.0]","[-2.0, 0.12122, 0.25315, 0.24895, 0.44868, 0.36072]"
"[3h,2s,6d,Qd,7d]",2,,,man,0.3,0,3,4,call_small,700.0,100.0,7.0,300.0,01,011001,800.0,0.0,500.0,-500.0,-100.0,-400.0,"[8c,2d,3d,6c,Ac]",1.0,3,-325.0,[],[],[]
"[3h,2s,6d,Qd,7d]",2,"[3h,2s,6d,7d]","[3h,2s,6d,7d,7h]",man,0.3,0,0,0,draw,800.0,0,0.0,400.0,010,0110010,800.0,0.0,400.0,-400.0,0,-400.0,"[8c,2d,3d,6c,Ac]",1.0,3,-325.0,"[-2.0, 0.46836, -2.0, 0.41026, -0.0003]","[0.0, 0.20357, 0.0, 0.79642, 0.0]","[-1.96564, 0.382, 0.36969, 0.44505, 0.55265, 0.52463]"
"[8c,2d,3d,6c,Ac]",2,"[8c,2d,3d,6c]","[8c,2d,3d,6c,Ks]",CNN_76_per,0.46318,1,0,0,draw,800.0,0,0.0,400.0,010,0110010,800.0,1600.0,400.0,1200.0,800.0,400.0,"[3h,2s,6d,7d,7h]",1.0,3,325.0,"[-2.0, 0.30516, -2.0, 0.27964, -0.0001]","[0.0, 0.1085, 0.0, 0.89149, 0.0]","[-1.9904, 0.29515, 0.35993, 0.4276, 0.51272, 0.38551]"
"[3h,2s,6d,7d,7h]",1,,,man,0.3,0,4,4,check,800.0,0,0.0,400.0,,0110010,800.0,0.0,400.0,-400.0,0,-400.0,"[8c,2d,3d,6c,Ks]",0.0,3,-325.0,[],[],[]
"[8c,2d,3d,6c,Ks]",1,,,CNN_76_per,0.29189,1,4,4,bet_big,800.0,200.0,4.0,400.0,0,01100100,800.0,1600.0,400.0,1200.0,800.0,400.0,"[3h,2s,6d,7d,7h]",1.0,3,325.0,"[0.41283, -2.0, 0.33725, -2.0, -2.0]","[0.92167, 0.0, 0.07832, 0.0, 0.0]","[-2.0, 0.08192, 0.30279, 0.31791, 0.3756, 0.39276]"
"[3h,2s,6d,7d,7h]",1,,,man,0.3,0,4,4,call_big,1000.0,200.0,5.0,400.0,01,011001001,800.0,0.0,400.0,-400.0,-200.0,-200.0,"[8c,2d,3d,6c,Ks]",0.0,3,-325.0,[],[],[]
"[3h,2s,6d,7d,7h]",1,"[3h,2s,6d,7d]","[3h,2s,6d,7d,Qc]",man,0.3,0,0,0,draw,1200.0,0,0.0,600.0,010,0110010010,800.0,0.0,200.0,-200.0,0,-200.0,"[8c,2d,3d,6c,Ks]",0.0,3,-325.0,"[-2.0, 0.17249, -2.0, 0.16461, -0.00039]","[0.0, 0.0, 0.0, 1.0, 0.0]","[-1.92226, 0.17495, 0.22392, 0.3412, 0.46756, 0.14403]"
"[8c,2d,3d,6c,Ks]",1,"[8c,2d,3d,6c]","[8c,2d,3d,6c,5c]",CNN_76_per,0.29189,1,0,0,draw,1200.0,0,0.0,600.0,010,0110010010,800.0,1600.0,200.0,1400.0,1200.0,200.0,"[3h,2s,6d,7d,Qc]",0.0,3,325.0,"[-2.0, 0.55049, -2.0, 0.53736, 0.00061]","[0.0, 0.11872, 0.0, 0.88127, 0.0]","[-2.0, 0.54072, 0.44282, 0.64551, 0.85548, 0.64568]"
"[3h,2s,6d,7d,Qc]",0,,,man,0.3,0,4,4,check,1200.0,0,0.0,600.0,,0110010010,800.0,0.0,200.0,-200.0,0,-200.0,"[8c,2d,3d,6c,5c]",0.0,3,-325.0,[],[],[]
"[8c,2d,3d,6c,5c]",0,,,CNN_76_per,0.86251,1,4,4,bet_big,1200.0,200.0,6.0,600.0,0,01100100100,800.0,1600.0,200.0,1400.0,1200.0,200.0,"[3h,2s,6d,7d,Qc]",1.0,3,325.0,"[1.32999, -2.0, 1.24076, -2.0, -2.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[-2.0, 0.08478, 0.58162, 0.66467, 0.77695, 1.27289]"
"[3h,2s,6d,7d,Qc]",0,,,man,0.3,0,4,4,call_big,1400.0,200.0,7.0,600.0,01,011001001001,800.0,0.0,200.0,-200.0,-200.0,0.0,"[8c,2d,3d,6c,5c]",0.0,3,-325.0,[],[],[]
"[5h,9s,3d,6h,Ac]",3,,,CNN_76_per,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,1000.0,600.0,400.0,0.0,400.0,"[6d,Ah,3c,Ts,Js]",1.0,4,483.33333333333331,[],[],[]
"[6d,Ah,3c,Ts,Js]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,400.0,0.0,400.0,-400.0,-50,-350.0,"[5h,9s,3d,6h,Ac]",0.0,4,-483.33333333333331,[],[],[]
"[6d,Ah,3c,Ts,Js]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,400.0,0.0,350.0,-350.0,-150.0,-200.0,"[5h,9s,3d,6h,Ac]",0.0,4,-483.33333333333331,[],[],[]
"[5h,9s,3d,6h,Ac]",3,,,CNN_76_per,0.46706,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,600.0,1000.0,500.0,500.0,300.0,200.0,"[6d,Ah,3c,Ts,Js]",1.0,4,483.33333333333331,"[-2.0, 0.12709, -2.0, 0.10668, -0.00106]","[0.0, 0.12015, 0.0, 0.73335, 0.14648]","[-1.95596, 0.08558, 0.16884, 0.17329, 0.21913, 0.17946]"
"[6d,Ah,3c,Ts,Js]",3,,,man,0.3,1,0,0,call_small,500.0,100.0,5.0,200.0,11,11,400.0,0.0,200.0,-200.0,-100.0,-100.0,"[5h,9s,3d,6h,Ac]",0.0,4,-483.33333333333331,[],[],[]
"[5h,9s,3d,6h,Ac]",3,"[5h,9s,3d,6h]","[5h,9s,3d,6h,2h]",CNN_76_per,0.46706,0,0,0,draw,600.0,0,0.0,300.0,110,110,600.0,1000.0,300.0,700.0,600.0,100.0,"[6d,Ah,3c,Ts,Js]",1.0,4,483.33333333333331,"[-2.0, -1.56586, -2.0, 0.18588, 0.00207]","[0.0, 0.0, 0.0, 1.0, 0.0]","[-1.96689, 0.16634, 0.23676, 0.27586, 0.30398, 0.3097]"
"[6d,Ah,3c,Ts,Js]",3,"[6d,3c]","[6d,3c,Ad,9c,Kc]",man,0.3,1,0,0,draw,600.0,0,0.0,300.0,110,110,400.0,0.0,100.0,-100.0,0,-100.0,"[5h,9s,3d,6h,2h]",0.0,4,-483.33333333333331,"[-2.0, 0.05012, -2.0, 0.04866, 0.00035]","[0.0, 0.02423, 0.0, 0.72653, 0.24922]","[-1.88585, 0.13943, 0.21736, 0.16684, 0.20003, 0.11062]"
"[5h,9s,3d,6h,2h]",2,,,CNN_76_per,0.65755,0,4,2,bet_small,600.0,100.0,6.0,300.0,,110,600.0,1000.0,300.0,700.0,600.0,100.0,"[6d,3c,Ad,9c,Kc]",1.0,4,483.33333333333331,"[0.66443, -2.0, 0.66104, -2.0, -2.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[-2.0, 0.20515, 0.36176, 0.3455, 0.45372, 0.6004]"
"[6d,3c,Ad,9c,Kc]",2,,,man,0.3,1,2,4,call_small,700.0,100.0,7.0,300.0,1,1101,400.0,0.0,100.0,-100.0,-100.0,0.0,"[5h,9s,3d,6h,2h]",0.0,4,-483.33333333333331,[],[],[]
"[5h,9s,3d,6h,2h]",2,"[5h,3d,6h,2h]","[5h,3d,6h,2h,Td]",CNN_76_per,0.46082,0,0,0,draw,800.0,0,0.0,400.0,10,11010,600.0,1000.0,200.0,800.0,800.0,0.0,"[6d,3c,Ad,9c,Kc]",1.0,4,483.33333333333331,"[-2.0, 0.74701, -2.0, 0.72248, -0.0083]","[0.0, 0.39216, 0.0, 0.60783, 0.0]","[-1.95333, 0.5952, 0.37974, 0.54723, 0.77302, 0.7296]"
"[6d,3c,Ad,9c,Kc]",2,"[6d,3c,9c]","[6d,3c,9c,Ks,9h]",man,0.3,1,0,0,draw,800.0,0,0.0,400.0,10,11010,400.0,0.0,0.0,0.0,0,0,"[5h,3d,6h,2h,Td]",0.0,4,-483.33333333333331,"[-2.0, 0.13898, -2.0, 0.13222, 2e-05]","[0.0, 0.06813, 0.0, 0.93186, 0.0]","[-2.0, 0.1031, 0.24121, 0.29527, 0.314, 0.29192]"
"[5h,3d,6h,2h,Td]",1,,,CNN_76_per,0.47823,0,4,3,bet_big,800.0,200.0,4.0,400.0,,11010,600.0,1000.0,200.0,800.0,800.0,0.0,"[6d,3c,9c,Ks,9h]",1.0,4,483.33333333333331,"[0.52274, -2.0, 0.53637, -2.0, -2.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[-2.0, 0.03198, 0.24795, 0.20433, 0.61023, 0.55973]"
"[6d,3c,9c,Ks,9h]",1,,,man,0.3,1,3,4,FOLD,1000.0,0,0.0,400.0,1,110101,400.0,0.0,0.0,0.0,0,0,"[5h,3d,6h,2h,Td]",0.0,4,-483.33333333333331,[],[],[]
"[Jh,3s,9d,Th,Ad]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,300.0,0.0,300.0,-300.0,-100,-200.0,"[9h,6c,6d,Qc,5d]",1.0,5,-462.5,[],[],[]
"[9h,6c,6d,Qc,5d]",3,,,CNN_76_per,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,800.0,500.0,300.0,100.0,200.0,"[Jh,3s,9d,Th,Ad]",0.0,5,462.5,[],[],[]
"[9h,6c,6d,Qc,5d]",3,,,CNN_76_per,0.36105,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,800.0,450.0,350.0,150.0,200.0,"[Jh,3s,9d,Th,Ad]",0.0,5,462.5,"[-2.0, 0.1079, -2.0, 0.07772, 0.00054]","[0.0, 0.03331, 0.0, 0.88661, 0.08006]","[-1.94473, 0.11773, 0.21285, 0.19247, 0.19443, 0.10403]"
"[Jh,3s,9d,Th,Ad]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,300.0,0.0,200.0,-200.0,-100.0,-100.0,"[9h,6c,6d,Qc,5d]",1.0,5,-462.5,[],[],[]
"[Jh,3s,9d,Th,Ad]",3,[3s],"[3s,8h,3c,4s,Ac]",man,0.3,0,0,0,draw,400.0,0,0.0,200.0,10,10,300.0,0.0,100.0,-100.0,0,-100.0,"[9h,6c,6d,Qc,5d]",1.0,5,-462.5,"[-2.0, -0.01539, -2.0, 0.00265, -0.00207]","[0.0, 0.0, 0.0, 0.63731, 0.36268]","[-1.86954, 0.05616, 0.12701, 0.06772, 0.04873, 0.02856]"
"[9h,6c,6d,Qc,5d]",3,"[9h,6d,5d]","[9h,6d,5d,6s,8c]",CNN_76_per,0.36105,1,0,0,draw,400.0,0,0.0,200.0,10,10,500.0,800.0,300.0,500.0,400.0,100.0,"[3s,8h,3c,4s,Ac]",0.0,5,462.5,"[-2.0, 0.12525, -2.0, 0.09274, 0.00052]","[0.0, 0.05619, 0.0, 0.8918, 0.052]","[-1.94713, 0.13593, 0.22525, 0.24158, 0.24891, 0.17838]"
"[3s,8h,3c,4s,Ac]",2,,,man,0.3,0,1,3,check,400.0,0,0.0,200.0,,10,300.0,0.0,100.0,-100.0,0,-100.0,"[9h,6d,5d,6s,8c]",1.0,5,-462.5,[],[],[]
