hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result
"[Ah,Jd,Td,4c,Qh]",3,,,sim,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,300.0,0.0,300.0,-300.0
"[Ts,2d,7c,Kd,6h]",3,,,CNN,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,800.0,500.0,300.0
"[Ts,2d,7c,Kd,6h]",3,,,CNN,0.456318,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,800.0,450.0,350.0
"[Ah,Jd,Td,4c,Qh]",3,,,sim,0.32846,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,300.0,0.0,200.0,-200.0
"[Ah,Jd,Td,4c,Qh]",3,[4c],"[4c,6s,8d,3c,3h]",,0.32846,0,0,0,draw,400.0,0,0.0,200.0,,10,300.0,0.0,100.0,-100.0
"[Ts,2d,7c,Kd,6h]",3,"[2d,7c,6h]","[2d,7c,6h,Jh,Jc]",,0.456318,1,0,0,draw,400.0,0,0.0,200.0,,10,500.0,800.0,300.0,500.0
"[4c,6s,8d,3c,3h]",2,,,sim,0.444727,0,1,3,bet_small,400.0,100.0,4.0,200.0,,10,300.0,0.0,100.0,-100.0
"[2d,7c,6h,Jh,Jc]",2,,,CNN,0.343406,1,3,1,call_small,500.0,100.0,5.0,200.0,1,101,500.0,800.0,300.0,500.0
"[4c,6s,8d,3c,3h]",2,"[4c,6s,8d,3h]","[4c,6s,8d,3h,As]",,0.444727,0,0,0,draw,600.0,0,0.0,300.0,,1010,300.0,0.0,0.0,0.0
"[2d,7c,6h,Jh,Jc]",2,"[2d,7c,6h]","[2d,7c,6h,Qs,7s]",,0.343406,1,0,0,draw,600.0,0,0.0,300.0,,1010,500.0,800.0,200.0,600.0
"[4c,6s,8d,3h,As]",1,,,sim,0.291686,0,4,3,check,600.0,0,0.0,300.0,,1010,300.0,0.0,0.0,0.0
"[2d,7c,6h,Qs,7s]",1,,,CNN,0.163419,1,3,4,bet_big,600.0,200.0,3.0,300.0,0,10100,500.0,800.0,200.0,600.0
"[4c,6s,8d,3h,As]",1,,,sim,0.291686,0,4,3,FOLD,800.0,0,0.0,300.0,01,101001,300.0,0.0,0.0,0.0
