hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result
"[Qh,Jd,Ad,2c,Ks]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,0.0,700.0,-700.0
"[2h,Qc,8d,5c,Qs]",3,,,CNN,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,900.0,1600.0,900.0,700.0
"[2h,Qc,8d,5c,Qs]",3,,,CNN,0.45587676037652008,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,900.0,1600.0,850.0,750.0
"[Qh,Jd,Ad,2c,Ks]",3,,,man,0.3,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,700.0,0.0,600.0,-600.0
"[Qh,Jd,Ad,2c,Ks]",3,[2c],"[2c,9s,5s,5d,9c]",,0.3,0,0,0,draw,400.0,0,0.0,200.0,,10,700.0,0.0,500.0,-500.0
"[2h,Qc,8d,5c,Qs]",3,"[2h,8d,5c]","[2h,8d,5c,Tc,7c]",,0.45587676037652008,1,0,0,draw,400.0,0,0.0,200.0,,10,900.0,1600.0,700.0,900.0
"[2c,9s,5s,5d,9c]",2,,,man,0.3,0,1,3,check,400.0,0,0.0,200.0,,10,700.0,0.0,500.0,-500.0
"[2h,8d,5c,Tc,7c]",2,,,CNN,0.44339462041966582,1,3,1,bet_small,400.0,100.0,4.0,200.0,0,100,900.0,1600.0,700.0,900.0
"[2c,9s,5s,5d,9c]",2,,,man,0.3,0,1,3,call_small,500.0,100.0,5.0,200.0,01,1001,700.0,0.0,500.0,-500.0
"[2c,9s,5s,5d,9c]",2,"[2c,9s,5s]","[2c,9s,5s,Kh,2s]",,0.3,0,0,0,draw,600.0,0,0.0,300.0,,10010,700.0,0.0,400.0,-400.0
"[2h,8d,5c,Tc,7c]",2,"[2h,8d,5c,7c]","[2h,8d,5c,7c,8h]",,0.44339462041966582,1,0,0,draw,600.0,0,0.0,300.0,,10010,900.0,1600.0,600.0,1000.0
"[2c,9s,5s,Kh,2s]",1,,,man,0.3,0,3,4,check,600.0,0,0.0,300.0,,10010,700.0,0.0,400.0,-400.0
"[2h,8d,5c,7c,8h]",1,,,CNN,0.29995409042122667,1,4,3,bet_big,600.0,200.0,3.0,300.0,0,100100,900.0,1600.0,600.0,1000.0
"[2c,9s,5s,Kh,2s]",1,,,man,0.3,0,3,4,call_big,800.0,200.0,4.0,300.0,01,1001001,700.0,0.0,400.0,-400.0
"[2c,9s,5s,Kh,2s]",1,"[2c,9s,5s]","[2c,9s,5s,As,2d]",,0.3,0,0,0,draw,1000.0,0,0.0,500.0,,10010010,700.0,0.0,200.0,-200.0
"[2h,8d,5c,7c,8h]",1,"[2h,5c,7c,8h]","[2h,5c,7c,8h,3c]",,0.29995409042122667,1,0,0,draw,1000.0,0,0.0,500.0,,10010010,900.0,1600.0,400.0,1200.0
"[2c,9s,5s,As,2d]",0,,,man,0.3,0,3,4,bet_big,1000.0,200.0,5.0,500.0,,10010010,700.0,0.0,200.0,-200.0
"[2h,5c,7c,8h,3c]",0,,,CNN,0.82237268945124242,1,4,3,raise_big,1200.0,400.0,3.0,500.0,1,100100101,900.0,1600.0,400.0,1200.0
"[2c,9s,5s,As,2d]",0,,,man,0.3,0,3,4,FOLD,1600.0,0,0.0,700.0,11,1001001011,700.0,0.0,0.0,0.0
"[8d,8s,Jh,5d,Th]",3,,,CNN,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,0.0,700.0,-700.0
"[2s,6s,3s,7h,Js]",3,,,man,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,900.0,1600.0,900.0,700.0
"[2s,6s,3s,7h,Js]",3,,,man,0.3,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,900.0,1600.0,850.0,750.0
"[8d,8s,Jh,5d,Th]",3,,,CNN,0.34706428666020372,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,700.0,0.0,600.0,-600.0
"[8d,8s,Jh,5d,Th]",3,"[8s,5d]","[8s,5d,5h,Kh,6d]",,0.34706428666020372,0,0,0,draw,400.0,0,0.0,200.0,,10,700.0,0.0,500.0,-500.0
"[2s,6s,3s,7h,Js]",3,"[2s,6s,3s,7h]","[2s,6s,3s,7h,5s]",,0.3,1,0,0,draw,400.0,0,0.0,200.0,,10,900.0,1600.0,700.0,900.0
"[8s,5d,5h,Kh,6d]",2,,,CNN,0.30025701588525755,0,2,4,check,400.0,0,0.0,200.0,,10,700.0,0.0,500.0,-500.0
"[2s,6s,3s,7h,5s]",2,,,man,0.3,1,4,2,bet_small,400.0,100.0,4.0,200.0,0,100,900.0,1600.0,700.0,900.0
"[8s,5d,5h,Kh,6d]",2,,,CNN,0.30025701588525755,0,2,4,raise_small,500.0,200.0,2.5,200.0,01,1001,700.0,0.0,500.0,-500.0
"[2s,6s,3s,7h,5s]",2,,,man,0.3,1,4,2,raise_small,700.0,200.0,3.5,300.0,011,10011,900.0,1600.0,600.0,1000.0
"[8s,5d,5h,Kh,6d]",2,,,CNN,0.30025701588525755,0,2,4,call_small,900.0,100.0,9.0,400.0,0111,100111,700.0,0.0,300.0,-300.0
"[8s,5d,5h,Kh,6d]",2,"[8s,5h,6d]","[8s,5h,6d,Kd,Td]",,0.30025701588525755,0,0,0,draw,1000.0,0,0.0,500.0,,1001110,700.0,0.0,200.0,-200.0
"[2s,6s,3s,7h,5s]",2,"[2s,6s,3s,7h,5s]","[2s,6s,3s,7h,5s]",,0.3,1,0,0,draw,1000.0,0,0.0,500.0,,1001110,900.0,1600.0,400.0,1200.0
"[8s,5h,6d,Kd,Td]",1,,,CNN,0.16029280482244246,0,3,5,bet_big,1000.0,200.0,5.0,500.0,,1001110,700.0,0.0,200.0,-200.0
"[2s,6s,3s,7h,5s]",1,,,man,0.3,1,5,3,raise_big,1200.0,400.0,3.0,500.0,1,10011101,900.0,1600.0,400.0,1200.0
"[8s,5h,6d,Kd,Td]",1,,,CNN,0.16029280482244246,0,3,5,FOLD,1600.0,0,0.0,700.0,11,100111011,700.0,0.0,0.0,0.0
"[8s,Js,Kd,6c,Jc]",3,,,man,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,1200.0,700.0,500.0
"[3h,4h,7d,Kc,6d]",3,,,CNN,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,0.0,500.0,-500.0
"[3h,4h,7d,Kc,6d]",3,,,CNN,0.57632797519093204,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,0.0,450.0,-450.0
"[8s,Js,Kd,6c,Jc]",3,,,man,0.3,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,700.0,1200.0,600.0,600.0
"[3h,4h,7d,Kc,6d]",3,,,CNN,0.57632797519093204,1,0,0,raise_small,500.0,200.0,2.5,200.0,11,11,500.0,0.0,300.0,-300.0
"[8s,Js,Kd,6c,Jc]",3,,,man,0.3,0,0,0,call_small,700.0,100.0,7.0,300.0,111,111,700.0,1200.0,400.0,800.0
"[8s,Js,Kd,6c,Jc]",3,"[8s,6c]","[8s,6c,5c,2h,As]",,0.3,0,0,0,draw,800.0,0,0.0,400.0,,1110,700.0,1200.0,300.0,900.0
"[3h,4h,7d,Kc,6d]",3,"[3h,4h,7d,6d]","[3h,4h,7d,6d,4d]",,0.57632797519093204,1,0,0,draw,800.0,0,0.0,400.0,,1110,500.0,0.0,100.0,-100.0
"[8s,6c,5c,2h,As]",2,,,man,0.3,0,2,4,bet_small,800.0,100.0,8.0,400.0,,1110,700.0,1200.0,300.0,900.0
"[3h,4h,7d,6d,4d]",2,,,CNN,0.44823454444736432,1,4,2,call_small,900.0,100.0,9.0,400.0,1,11101,500.0,0.0,100.0,-100.0
"[8s,6c,5c,2h,As]",2,"[8s,6c,5c,2h]","[8s,6c,5c,2h,4s]",,0.3,0,0,0,draw,1000.0,0,0.0,500.0,,111010,700.0,1200.0,200.0,1000.0
