hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[Ah,Js,Jd,5s,8h]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0
"[Ac,Qh,7s,Ts,5c]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0
"[Ac,Qh,7s,Ts,5c]",3,,,CNN_45,0.369437,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0
"[Ah,Js,Jd,5s,8h]",3,,,CNN_5,0.359403,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0
"[Jd,9h,7h,3c,3h]",3,,,CNN_45,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,1100.0,2000.0,1100.0,900.0,0.0,900.0
"[Kd,Th,Ad,7d,6h]",3,,,CNN_5,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,900.0,0.0,900.0,-900.0,-50,-850.0
"[Kd,Th,Ad,7d,6h]",3,,,CNN_5,0.351861,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,900.0,0.0,850.0,-850.0,-150.0,-700.0
"[Jd,9h,7h,3c,3h]",3,,,CNN_45,0.380418,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,1100.0,2000.0,1000.0,1000.0,300.0,700.0
"[Jd,9h,7h,3c,3h]",3,"[9h,7h,3h]","[9h,7h,3h,2s,8c]",CNN_45,0.380418,0,0,0,draw,400.0,0,0.0,200.0,,10,1100.0,2000.0,900.0,1100.0,400.0,700.0
"[Kd,Th,Ad,7d,6h]",3,"[7d,6h]","[7d,6h,9c,Kh,2c]",CNN_5,0.351861,1,0,0,draw,400.0,0,0.0,200.0,,10,900.0,0.0,700.0,-700.0,0,-700.0
"[9h,7h,3h,2s,8c]",2,,,CNN_45,0.459902,0,3,2,bet_small,400.0,100.0,4.0,200.0,,10,1100.0,2000.0,900.0,1100.0,400.0,700.0
"[7d,6h,9c,Kh,2c]",2,,,CNN_5,0.380697,1,2,3,raise_small,500.0,200.0,2.5,200.0,1,101,900.0,0.0,700.0,-700.0,-200.0,-500.0
"[9h,7h,3h,2s,8c]",2,,,CNN_45,0.459902,0,3,2,raise_small,700.0,200.0,3.5,300.0,11,1011,1100.0,2000.0,800.0,1200.0,700.0,500.0
"[7d,6h,9c,Kh,2c]",2,,,CNN_5,0.380697,1,2,3,call_small,900.0,100.0,9.0,400.0,111,10111,900.0,0.0,500.0,-500.0,-100.0,-400.0
"[9h,7h,3h,2s,8c]",2,"[7h,3h,2s,8c]","[7h,3h,2s,8c,4h]",CNN_45,0.459902,0,0,0,draw,1000.0,0,0.0,500.0,,101110,1100.0,2000.0,600.0,1400.0,1000.0,400.0
"[7d,6h,9c,Kh,2c]",2,"[7d,6h,9c,2c]","[7d,6h,9c,2c,2d]",CNN_5,0.380697,1,0,0,draw,1000.0,0,0.0,500.0,,101110,900.0,0.0,400.0,-400.0,0,-400.0
"[7h,3h,2s,8c,4h]",1,,,CNN_45,0.767915,0,4,4,check,1000.0,0,0.0,500.0,,101110,1100.0,2000.0,600.0,1400.0,1000.0,400.0
"[7d,6h,9c,2c,2d]",1,,,CNN_5,0.270785,1,4,4,bet_big,1000.0,200.0,5.0,500.0,0,1011100,900.0,0.0,400.0,-400.0,-200.0,-200.0
"[7h,3h,2s,8c,4h]",1,,,CNN_45,0.767915,0,4,4,raise_big,1200.0,400.0,3.0,500.0,01,10111001,1100.0,2000.0,600.0,1400.0,1200.0,200.0
"[7d,6h,9c,2c,2d]",1,,,CNN_5,0.270785,1,4,4,call_big,1600.0,200.0,8.0,700.0,011,101110011,900.0,0.0,200.0,-200.0,-200.0,0.0
"[7h,3h,2s,8c,4h]",1,"[7h,3h,2s,8c,4h]","[7h,3h,2s,8c,4h]",CNN_45,0.767915,0,0,0,draw,1800.0,0,0.0,900.0,,1011100110,1100.0,2000.0,200.0,1800.0,1800.0,0.0
"[7d,6h,9c,2c,2d]",1,"[7d,6h,9c,2c]","[7d,6h,9c,2c,6s]",CNN_5,0.270785,1,0,0,draw,1800.0,0,0.0,900.0,,1011100110,900.0,0.0,0.0,0.0,0,0
"[7h,3h,2s,8c,4h]",0,,,CNN_45,0.767915,0,5,4,bet_big,1800.0,200.0,9.0,900.0,,1011100110,1100.0,2000.0,200.0,1800.0,1800.0,0.0
"[7d,6h,9c,2c,6s]",0,,,CNN_5,0.06997,1,4,5,FOLD,2000.0,0,0.0,900.0,1,10111001101,900.0,0.0,0.0,0.0,0,0
"[Qc,6s,Ts,3s,8h]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0,0.0,50.0
"[6h,9h,2s,As,Jd]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0,-50,0.0
"[6h,9h,2s,As,Jd]",3,,,CNN_45,0.398308,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0,0,0
"[Ts,Ad,3s,Jh,3c]",3,,,CNN_45,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,500.0,1000.0,500.0,500.0,0.0,500.0
"[4d,Th,Js,Jc,5c]",3,,,CNN_5,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,0.0,500.0,-500.0,-50,-450.0
"[4d,Th,Js,Jc,5c]",3,,,CNN_5,0.357656,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,0.0,450.0,-450.0,-150.0,-300.0
"[Ts,Ad,3s,Jh,3c]",3,,,CNN_45,0.329323,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,500.0,1000.0,400.0,600.0,300.0,300.0
"[Ts,Ad,3s,Jh,3c]",3,[3c],"[3c,Qd,8s,Ks,As]",CNN_45,0.329323,0,0,0,draw,400.0,0,0.0,200.0,,10,500.0,1000.0,300.0,700.0,400.0,300.0
"[4d,Th,Js,Jc,5c]",3,"[4d,5c]","[4d,5c,Kh,7h,6d]",CNN_5,0.357656,1,0,0,draw,400.0,0,0.0,200.0,,10,500.0,0.0,300.0,-300.0,0,-300.0
"[3c,Qd,8s,Ks,As]",2,,,CNN_45,0.265515,0,1,2,bet_small,400.0,100.0,4.0,200.0,,10,500.0,1000.0,300.0,700.0,400.0,300.0
"[4d,5c,Kh,7h,6d]",2,,,CNN_5,0.386232,1,2,1,call_small,500.0,100.0,5.0,200.0,1,101,500.0,0.0,300.0,-300.0,-100.0,-200.0
