hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[3s,9d,8c,Ac,7d]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,800.0,1400.0,800.0,600.0,0.0,600.0
"[Qc,4d,4h,6c,5c]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,600.0,0.0,600.0,-600.0,-50,-550.0
"[Qc,4d,4h,6c,5c]",3,,,CNN_4,0.416942,1,0,0,call_small,150.0,50.0,3.0,50.0,,,600.0,0.0,550.0,-550.0,-50.0,-500.0
"[3s,9d,8c,Ac,7d]",3,,,CNN_5,0.408745,0,0,0,check,200.0,0,0.0,100.0,0,0,800.0,1400.0,700.0,700.0,200.0,500.0
"[3s,9d,8c,Ac,7d]",3,"[3s,8c,7d]","[3s,8c,7d,9s,Jd]",CNN_5,0.408745,0,0,0,draw,200.0,0,0.0,100.0,,00,800.0,1400.0,700.0,700.0,200.0,500.0
"[Qc,4d,4h,6c,5c]",3,"[4h,6c,5c]","[4h,6c,5c,6s,8s]",CNN_4,0.416942,1,0,0,draw,200.0,0,0.0,100.0,,00,600.0,0.0,500.0,-500.0,0,-500.0
"[3s,8c,7d,9s,Jd]",2,,,CNN_5,0.3063,0,3,3,bet_small,200.0,100.0,2.0,100.0,,00,800.0,1400.0,700.0,700.0,200.0,500.0
"[4h,6c,5c,6s,8s]",2,,,CNN_4,0.397918,1,3,3,call_small,300.0,100.0,3.0,100.0,1,001,600.0,0.0,500.0,-500.0,-100.0,-400.0
"[3s,8c,7d,9s,Jd]",2,"[3s,8c,7d]","[3s,8c,7d,2d,2s]",CNN_5,0.3063,0,0,0,draw,400.0,0,0.0,200.0,,0010,800.0,1400.0,600.0,800.0,400.0,400.0
"[4h,6c,5c,6s,8s]",2,"[4h,6c,5c,8s]","[4h,6c,5c,8s,Jc]",CNN_4,0.397918,1,0,0,draw,400.0,0,0.0,200.0,,0010,600.0,0.0,400.0,-400.0,0,-400.0
"[3s,8c,7d,2d,2s]",1,,,CNN_5,0.271578,0,3,4,check,400.0,0,0.0,200.0,,0010,800.0,1400.0,600.0,800.0,400.0,400.0
"[4h,6c,5c,8s,Jc]",1,,,CNN_4,0.279716,1,4,3,bet_big,400.0,200.0,2.0,200.0,0,00100,600.0,0.0,400.0,-400.0,-200.0,-200.0
"[3s,8c,7d,2d,2s]",1,,,CNN_5,0.271578,0,3,4,raise_big,600.0,400.0,1.5,200.0,01,001001,800.0,1400.0,600.0,800.0,600.0,200.0
"[4h,6c,5c,8s,Jc]",1,,,CNN_4,0.279716,1,4,3,call_big,1000.0,200.0,5.0,400.0,011,0010011,600.0,0.0,200.0,-200.0,-200.0,0.0
"[3s,8c,7d,2d,2s]",1,"[3s,8c,7d,2s]","[3s,8c,7d,2s,Ah]",CNN_5,0.271578,0,0,0,draw,1200.0,0,0.0,600.0,,00100110,800.0,1400.0,200.0,1200.0,1200.0,0.0
"[4h,6c,5c,8s,Jc]",1,"[4h,6c,5c,8s]","[4h,6c,5c,8s,8h]",CNN_4,0.279716,1,0,0,draw,1200.0,0,0.0,600.0,,00100110,600.0,0.0,0.0,0.0,0,0
"[3s,8c,7d,2s,Ah]",0,,,CNN_5,0.0982297,0,4,4,bet_big,1200.0,200.0,6.0,600.0,,00100110,800.0,1400.0,200.0,1200.0,1200.0,0.0
"[4h,6c,5c,8s,8h]",0,,,CNN_4,0.0769841,1,4,4,FOLD,1400.0,0,0.0,600.0,1,001001101,600.0,0.0,0.0,0.0,0,0
"[Jc,Td,Qh,7c,Th]",3,,,CNN_4,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,800.0,1600.0,800.0,800.0,0.0,800.0
"[8s,Tc,9h,As,Kd]",3,,,CNN_5,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,800.0,0.0,800.0,-800.0,-50,-750.0
"[8s,Tc,9h,As,Kd]",3,,,CNN_5,0.29076,1,0,0,call_small,150.0,50.0,3.0,50.0,,,800.0,0.0,750.0,-750.0,-50.0,-700.0
"[Jc,Td,Qh,7c,Th]",3,,,CNN_4,0.307273,0,0,0,check,200.0,0,0.0,100.0,0,0,800.0,1600.0,700.0,900.0,200.0,700.0
"[Jc,Td,Qh,7c,Th]",3,[7c],"[7c,4c,Qs,3s,3d]",CNN_4,0.307273,0,0,0,draw,200.0,0,0.0,100.0,,00,800.0,1600.0,700.0,900.0,200.0,700.0
"[8s,Tc,9h,As,Kd]",3,[8s],"[8s,5c,Ts,7h,2h]",CNN_5,0.29076,1,0,0,draw,200.0,0,0.0,100.0,,00,800.0,0.0,700.0,-700.0,0,-700.0
"[7c,4c,Qs,3s,3d]",2,,,CNN_4,0.346687,0,1,1,bet_small,200.0,100.0,2.0,100.0,,00,800.0,1600.0,700.0,900.0,200.0,700.0
"[8s,5c,Ts,7h,2h]",2,,,CNN_5,0.476995,1,1,1,call_small,300.0,100.0,3.0,100.0,1,001,800.0,0.0,700.0,-700.0,-100.0,-600.0
"[7c,4c,Qs,3s,3d]",2,"[7c,4c,3d]","[7c,4c,3d,2d,6c]",CNN_4,0.346687,0,0,0,draw,400.0,0,0.0,200.0,,0010,800.0,1600.0,600.0,1000.0,400.0,600.0
"[8s,5c,Ts,7h,2h]",2,"[8s,5c,7h,2h]","[8s,5c,7h,2h,5s]",CNN_5,0.476995,1,0,0,draw,400.0,0,0.0,200.0,,0010,800.0,0.0,600.0,-600.0,0,-600.0
"[7c,4c,3d,2d,6c]",1,,,CNN_4,0.92378,0,3,4,check,400.0,0,0.0,200.0,,0010,800.0,1600.0,600.0,1000.0,400.0,600.0
"[8s,5c,7h,2h,5s]",1,,,CNN_5,0.329104,1,4,3,bet_big,400.0,200.0,2.0,200.0,0,00100,800.0,0.0,600.0,-600.0,-200.0,-400.0
"[7c,4c,3d,2d,6c]",1,,,CNN_4,0.92378,0,3,4,call_big,600.0,200.0,3.0,200.0,01,001001,800.0,1600.0,600.0,1000.0,600.0,400.0
"[7c,4c,3d,2d,6c]",1,"[7c,4c,3d,2d,6c]","[7c,4c,3d,2d,6c]",CNN_4,0.92378,0,0,0,draw,800.0,0,0.0,400.0,,0010010,800.0,1600.0,400.0,1200.0,800.0,400.0
"[8s,5c,7h,2h,5s]",1,"[8s,7h,2h,5s]","[8s,7h,2h,5s,Kc]",CNN_5,0.329104,1,0,0,draw,800.0,0,0.0,400.0,,0010010,800.0,0.0,400.0,-400.0,0,-400.0
"[7c,4c,3d,2d,6c]",0,,,CNN_4,0.92378,0,5,4,check,800.0,0,0.0,400.0,,0010010,800.0,1600.0,400.0,1200.0,800.0,400.0
"[8s,7h,2h,5s,Kc]",0,,,CNN_5,0.0883776,1,4,5,bet_big,800.0,200.0,4.0,400.0,0,00100100,800.0,0.0,400.0,-400.0,-200.0,-200.0
"[7c,4c,3d,2d,6c]",0,,,CNN_4,0.92378,0,5,4,raise_big,1000.0,400.0,2.5,400.0,01,001001001,800.0,1600.0,400.0,1200.0,1000.0,200.0
"[8s,7h,2h,5s,Kc]",0,,,CNN_5,0.0883776,1,4,5,call_big,1400.0,200.0,7.0,600.0,011,0010010011,800.0,0.0,200.0,-200.0,-200.0,0.0
"[8h,6c,2c,3h,Jd]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,1200.0,700.0,500.0,0.0,500.0
"[4h,4c,Qd,6h,3d]",3,,,CNN_4,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,500.0,0.0,500.0,-500.0,-50,-450.0
"[4h,4c,Qd,6h,3d]",3,,,CNN_4,0.456824,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,500.0,0.0,450.0,-450.0,-150.0,-300.0
"[8h,6c,2c,3h,Jd]",3,,,CNN_5,0.590524,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,700.0,1200.0,600.0,600.0,300.0,300.0
"[4h,4c,Qd,6h,3d]",3,,,CNN_4,0.456824,1,0,0,call_small,500.0,100.0,5.0,200.0,11,11,500.0,0.0,300.0,-300.0,-100.0,-200.0
"[8h,6c,2c,3h,Jd]",3,"[8h,6c,2c,3h]","[8h,6c,2c,3h,3s]",CNN_5,0.590524,0,0,0,draw,600.0,0,0.0,300.0,,110,700.0,1200.0,400.0,800.0,600.0,200.0
"[4h,4c,Qd,6h,3d]",3,"[4h,6h,3d]","[4h,6h,3d,Td,Ks]",CNN_4,0.456824,1,0,0,draw,600.0,0,0.0,300.0,,110,500.0,0.0,200.0,-200.0,0,-200.0
"[8h,6c,2c,3h,3s]",2,,,CNN_5,0.482533,0,4,3,bet_small,600.0,100.0,6.0,300.0,,110,700.0,1200.0,400.0,800.0,600.0,200.0
"[4h,6h,3d,Td,Ks]",2,,,CNN_4,0.324801,1,3,4,raise_small,700.0,200.0,3.5,300.0,1,1101,500.0,0.0,200.0,-200.0,-200.0,0.0
"[8h,6c,2c,3h,3s]",2,,,CNN_5,0.482533,0,4,3,call_small,900.0,100.0,9.0,400.0,11,11011,700.0,1200.0,300.0,900.0,900.0,0.0
"[8h,6c,2c,3h,3s]",2,"[8h,6c,2c,3s]","[8h,6c,2c,3s,6s]",CNN_5,0.482533,0,0,0,draw,1000.0,0,0.0,500.0,,110110,700.0,1200.0,200.0,1000.0,1000.0,0.0
"[4h,6h,3d,Td,Ks]",2,"[4h,6h,3d]","[4h,6h,3d,Qs,5d]",CNN_4,0.324801,1,0,0,draw,1000.0,0,0.0,500.0,,110110,500.0,0.0,0.0,0.0,0,0
"[8h,6c,2c,3s,6s]",1,,,CNN_5,0.305893,0,4,3,bet_big,1000.0,200.0,5.0,500.0,,110110,700.0,1200.0,200.0,1000.0,1000.0,0.0
"[4h,6h,3d,Qs,5d]",1,,,CNN_4,0.231189,1,3,4,FOLD,1200.0,0,0.0,500.0,1,1101101,500.0,0.0,0.0,0.0,0,0
"[Jh,4d,6s,4c,Ah]",3,,,CNN_4,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,600.0,0.0,600.0,-600.0,-100,-500.0
"[2s,Jd,5s,7h,4h]",3,,,CNN_5,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,600.0,1200.0,600.0,600.0,100.0,500.0
"[2s,Jd,5s,7h,4h]",3,,,CNN_5,0.588133,1,0,0,call_small,150.0,50.0,3.0,50.0,,,600.0,1200.0,550.0,650.0,150.0,500.0
"[Jh,4d,6s,4c,Ah]",3,,,CNN_4,0.374226,0,0,0,raise_small,200.0,100.0,2.0,100.0,0,0,600.0,0.0,500.0,-500.0,-100.0,-400.0
"[2s,Jd,5s,7h,4h]",3,,,CNN_5,0.588133,1,0,0,raise_small,300.0,200.0,1.5,100.0,01,01,600.0,1200.0,500.0,700.0,300.0,400.0
"[Jh,4d,6s,4c,Ah]",3,,,CNN_4,0.374226,0,0,0,call_small,500.0,100.0,5.0,200.0,011,011,600.0,0.0,400.0,-400.0,-100.0,-300.0
"[Jh,4d,6s,4c,Ah]",3,"[4d,6s]","[4d,6s,2d,7s,8c]",CNN_4,0.374226,0,0,0,draw,600.0,0,0.0,300.0,,0110,600.0,0.0,300.0,-300.0,0,-300.0
"[2s,Jd,5s,7h,4h]",3,"[2s,5s,7h,4h]","[2s,5s,7h,4h,Kd]",CNN_5,0.588133,1,0,0,draw,600.0,0,0.0,300.0,,0110,600.0,1200.0,300.0,900.0,600.0,300.0
"[4d,6s,2d,7s,8c]",2,,,CNN_4,0.649555,0,2,4,check,600.0,0,0.0,300.0,,0110,600.0,0.0,300.0,-300.0,0,-300.0
"[2s,5s,7h,4h,Kd]",2,,,CNN_5,0.482384,1,4,2,bet_small,600.0,100.0,6.0,300.0,0,01100,600.0,1200.0,300.0,900.0,600.0,300.0
"[4d,6s,2d,7s,8c]",2,,,CNN_4,0.649555,0,2,4,raise_small,700.0,200.0,3.5,300.0,01,011001,600.0,0.0,300.0,-300.0,-200.0,-100.0
"[2s,5s,7h,4h,Kd]",2,,,CNN_5,0.482384,1,4,2,raise_small,900.0,200.0,4.5,400.0,011,0110011,600.0,1200.0,200.0,1000.0,900.0,100.0
"[4d,6s,2d,7s,8c]",2,,,CNN_4,0.649555,0,2,4,call_small,1100.0,100.0,11.0,500.0,0111,01100111,600.0,0.0,100.0,-100.0,-100.0,0.0
"[4d,6s,2d,7s,8c]",2,"[4d,6s,2d,7s,8c]","[4d,6s,2d,7s,8c]",CNN_4,0.649555,0,0,0,draw,1200.0,0,0.0,600.0,,011001110,600.0,0.0,0.0,0.0,0,0
"[2s,5s,7h,4h,Kd]",2,"[2s,5s,7h,4h]","[2s,5s,7h,4h,8h]",CNN_5,0.482384,1,0,0,draw,1200.0,0,0.0,600.0,,011001110,600.0,1200.0,0.0,1200.0,1200.0,0.0
"[4d,6s,2d,7s,8c]",1,,,CNN_4,0.673745,0,5,4,check,1200.0,0,0.0,600.0,,011001110,600.0,0.0,0.0,0.0,0,0
"[2s,5s,7h,4h,8h]",1,,,CNN_5,0.861006,1,4,5,check,1200.0,0,0.0,600.0,0,0110011100,600.0,1200.0,0.0,1200.0,1200.0,0.0
"[4d,6s,2d,7s,8c]",1,"[4d,6s,2d,7s,8c]","[4d,6s,2d,7s,8c]",CNN_4,0.673745,0,0,0,draw,1200.0,0,0.0,600.0,,01100111000,600.0,0.0,0.0,0.0,0,0
"[2s,5s,7h,4h,8h]",1,"[2s,5s,7h,4h,8h]","[2s,5s,7h,4h,8h]",CNN_5,0.861006,1,0,0,draw,1200.0,0,0.0,600.0,,01100111000,600.0,1200.0,0.0,1200.0,1200.0,0.0
