hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result
"[9c,3h,2d,4c,2s]",3,,,CNN,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,2400.0,4800.0,2400.0,2400.0
"[Tc,Th,4h,5h,Kd]",3,,,CNN,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,2400.0,0.0,2400.0,-2400.0
"[Tc,Th,4h,5h,Kd]",3,,,CNN,0.35467,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,2400.0,0.0,2350.0,-2350.0
"[9c,3h,2d,4c,2s]",3,,,CNN,0.546917,0,0,0,raise_small,300.0,200.0,1.5,100.0,1,1,2400.0,4800.0,2300.0,2500.0
"[Tc,Th,4h,5h,Kd]",3,,,CNN,0.35467,1,0,0,raise_small,500.0,200.0,2.5,200.0,11,11,2400.0,0.0,2200.0,-2200.0
"[9c,3h,2d,4c,2s]",3,,,CNN,0.546917,0,0,0,call_small,700.0,100.0,7.0,300.0,111,111,2400.0,4800.0,2100.0,2700.0
"[9c,3h,2d,4c,2s]",3,"[9c,3h,2d,4c]","[9c,3h,2d,4c,5c]",,0.546917,0,0,0,draw,800.0,0,0.0,400.0,,1110,2400.0,4800.0,2000.0,2800.0
"[Tc,Th,4h,5h,Kd]",3,"[4h,5h]","[4h,5h,3s,Ah,9d]",,0.35467,1,0,0,draw,800.0,0,0.0,400.0,,1110,2400.0,0.0,2000.0,-2000.0
"[9c,3h,2d,4c,5c]",2,,,CNN,0.693947,0,4,2,bet_small,800.0,100.0,8.0,400.0,,1110,2400.0,4800.0,2000.0,2800.0
"[4h,5h,3s,Ah,9d]",2,,,CNN,0.38859,1,2,4,raise_small,900.0,200.0,4.5,400.0,1,11101,2400.0,0.0,2000.0,-2000.0
"[9c,3h,2d,4c,5c]",2,,,CNN,0.693947,0,4,2,raise_small,1100.0,200.0,5.5,500.0,11,111011,2400.0,4800.0,1900.0,2900.0
"[4h,5h,3s,Ah,9d]",2,,,CNN,0.38859,1,2,4,raise_small,1300.0,200.0,6.5,600.0,111,1110111,2400.0,0.0,1800.0,-1800.0
"[9c,3h,2d,4c,5c]",2,,,CNN,0.693947,0,4,2,call_small,1500.0,100.0,15.0,700.0,1111,11101111,2400.0,4800.0,1700.0,3100.0
"[9c,3h,2d,4c,5c]",2,"[9c,3h,2d,4c,5c]","[9c,3h,2d,4c,5c]",,0.693947,0,0,0,draw,1600.0,0,0.0,800.0,,111011110,2400.0,4800.0,1600.0,3200.0
"[4h,5h,3s,Ah,9d]",2,"[4h,5h,3s,9d]","[4h,5h,3s,9d,8s]",,0.38859,1,0,0,draw,1600.0,0,0.0,800.0,,111011110,2400.0,0.0,1600.0,-1600.0
"[9c,3h,2d,4c,5c]",1,,,CNN,0.711687,0,5,4,bet_big,1600.0,200.0,8.0,800.0,,111011110,2400.0,4800.0,1600.0,3200.0
"[4h,5h,3s,9d,8s]",1,,,CNN,0.49754,1,4,5,raise_big,1800.0,400.0,4.5,800.0,1,1110111101,2400.0,0.0,1600.0,-1600.0
"[9c,3h,2d,4c,5c]",1,,,CNN,0.711687,0,5,4,raise_big,2200.0,400.0,5.5,1000.0,11,11101111011,2400.0,4800.0,1400.0,3400.0
"[4h,5h,3s,9d,8s]",1,,,CNN,0.49754,1,4,5,raise_big,2600.0,400.0,6.5,1200.0,111,111011110111,2400.0,0.0,1200.0,-1200.0
"[9c,3h,2d,4c,5c]",1,,,CNN,0.711687,0,5,4,call_big,3000.0,200.0,15.0,1400.0,1111,1110111101111,2400.0,4800.0,1000.0,3800.0
"[9c,3h,2d,4c,5c]",1,"[9c,3h,2d,4c,5c]","[9c,3h,2d,4c,5c]",,0.711687,0,0,0,draw,3200.0,0,0.0,1600.0,,11101111011110,2400.0,4800.0,800.0,4000.0
"[4h,5h,3s,9d,8s]",1,"[4h,5h,3s,9d,8s]","[4h,5h,3s,9d,8s]",,0.49754,1,0,0,draw,3200.0,0,0.0,1600.0,,11101111011110,2400.0,0.0,800.0,-800.0
"[9c,3h,2d,4c,5c]",0,,,CNN,0.711687,0,5,5,bet_big,3200.0,200.0,16.0,1600.0,,11101111011110,2400.0,4800.0,800.0,4000.0
