hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[Tc,9d,2d,3h,5c]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,900.0,1800.0,900.0,900.0,0.0,900.0
"[4h,Jh,Th,8c,2s]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,900.0,0.0,900.0,-900.0,-50,-850.0
"[4h,Jh,Th,8c,2s]",3,,,CNN_45,0.446503,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,900.0,0.0,850.0,-850.0,-150.0,-700.0
"[Tc,9d,2d,3h,5c]",3,,,CNN_5,0.513264,0,0,0,call_small,300.0,100.0,3.0,100.0,1,1,900.0,1800.0,800.0,1000.0,300.0,700.0
"[Tc,9d,2d,3h,5c]",3,"[9d,2d,3h,5c]","[9d,2d,3h,5c,5h]",CNN_5,0.513264,0,0,0,draw,400.0,0,0.0,200.0,,10,900.0,1800.0,700.0,1100.0,400.0,700.0
"[4h,Jh,Th,8c,2s]",3,"[4h,8c,2s]","[4h,8c,2s,3s,Ac]",CNN_45,0.446503,1,0,0,draw,400.0,0,0.0,200.0,,10,900.0,0.0,700.0,-700.0,0,-700.0
"[9d,2d,3h,5c,5h]",2,,,CNN_5,0.440093,0,4,3,check,400.0,0,0.0,200.0,,10,900.0,1800.0,700.0,1100.0,400.0,700.0
"[4h,8c,2s,3s,Ac]",2,,,CNN_45,0.483471,1,3,4,bet_small,400.0,100.0,4.0,200.0,0,100,900.0,0.0,700.0,-700.0,-100.0,-600.0
"[9d,2d,3h,5c,5h]",2,,,CNN_5,0.440093,0,4,3,raise_small,500.0,200.0,2.5,200.0,01,1001,900.0,1800.0,700.0,1100.0,500.0,600.0
"[4h,8c,2s,3s,Ac]",2,,,CNN_45,0.483471,1,3,4,raise_small,700.0,200.0,3.5,300.0,011,10011,900.0,0.0,600.0,-600.0,-200.0,-400.0
