hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[8s,8c,4d,5d,Tc]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,150.0,100.0,50.0,0.0,50.0
"[Ts,Qd,Ks,3s,9s]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,50.0,0.0,50.0,-50.0,-50,0.0
"[Ts,Qd,Ks,3s,9s]",3,,,CNN_45,0.322981,1,0,0,FOLD,150.0,0,0.0,50.0,,,50.0,0.0,0.0,0.0,0,0
"[9c,7c,7s,8c,Jc]",3,,,CNN_45,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,100.0,0.0,100.0,-100.0,-100,0.0
"[8h,Tc,Kh,6d,7h]",3,,,CNN_5,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,200.0,300.0,200.0,100.0,100.0,0.0
"[8h,Tc,Kh,6d,7h]",3,,,CNN_5,0.373347,1,0,0,raise_small,150.0,150.0,1.0,50.0,,,200.0,300.0,150.0,150.0,150.0,0.0
"[9c,7c,7s,8c,Jc]",3,,,CNN_45,0.318553,0,0,0,FOLD,300.0,0,0.0,100.0,1,1,100.0,0.0,0.0,0.0,0,0
"[Jd,Kc,8d,6s,Ah]",3,,,CNN_5,0.3,0,0,0,pos_BB,0.0,100,0.0,0.0,,,700.0,1400.0,700.0,700.0,0.0,700.0
"[Js,Td,6c,7s,5h]",3,,,CNN_45,0.3,1,0,0,pos_SB,100.0,50,2.0,0.0,,,700.0,0.0,700.0,-700.0,-50,-650.0
"[Js,Td,6c,7s,5h]",3,,,CNN_45,0.401118,1,0,0,call_small,150.0,50.0,3.0,50.0,,,700.0,0.0,650.0,-650.0,-50.0,-600.0
"[Jd,Kc,8d,6s,Ah]",3,,,CNN_5,0.347773,0,0,0,check,200.0,0,0.0,100.0,0,0,700.0,1400.0,600.0,800.0,200.0,600.0
"[Jd,Kc,8d,6s,Ah]",3,"[8d,6s]","[8d,6s,2d,7h,Jh]",CNN_5,0.347773,0,0,0,draw,200.0,0,0.0,100.0,,00,700.0,1400.0,600.0,800.0,200.0,600.0
"[Js,Td,6c,7s,5h]",3,"[6c,7s,5h]","[6c,7s,5h,Kd,Qs]",CNN_45,0.401118,1,0,0,draw,200.0,0,0.0,100.0,,00,700.0,0.0,600.0,-600.0,0,-600.0
"[8d,6s,2d,7h,Jh]",2,,,CNN_5,0.435454,0,2,3,check,200.0,0,0.0,100.0,,00,700.0,1400.0,600.0,800.0,200.0,600.0
"[6c,7s,5h,Kd,Qs]",2,,,CNN_45,0.297215,1,3,2,bet_small,200.0,100.0,2.0,100.0,0,000,700.0,0.0,600.0,-600.0,-100.0,-500.0
"[8d,6s,2d,7h,Jh]",2,,,CNN_5,0.435454,0,2,3,raise_small,300.0,200.0,1.5,100.0,01,0001,700.0,1400.0,600.0,800.0,300.0,500.0
"[6c,7s,5h,Kd,Qs]",2,,,CNN_45,0.297215,1,3,2,call_small,500.0,100.0,5.0,200.0,011,00011,700.0,0.0,500.0,-500.0,-100.0,-400.0
"[8d,6s,2d,7h,Jh]",2,"[8d,6s,2d,7h]","[8d,6s,2d,7h,8h]",CNN_5,0.435454,0,0,0,draw,600.0,0,0.0,300.0,,000110,700.0,1400.0,400.0,1000.0,600.0,400.0
"[6c,7s,5h,Kd,Qs]",2,"[6c,7s,5h]","[6c,7s,5h,8s,Ad]",CNN_45,0.297215,1,0,0,draw,600.0,0,0.0,300.0,,000110,700.0,0.0,400.0,-400.0,0,-400.0
"[8d,6s,2d,7h,8h]",1,,,CNN_5,0.290011,0,4,3,check,600.0,0,0.0,300.0,,000110,700.0,1400.0,400.0,1000.0,600.0,400.0
